train/loss_critic,errors,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_Q_std,total/epochs,train/loss_actor,rollout/return,reference_actor_Q_mean,success rate,rollout/goal_tolerance,total/steps_per_second,rollout/Q_mean,rollout/actions_mean,total/duration,reference_action_std,rollout/episodes,total/episodes,total/steps,reference_Q_mean,rollout/error,reference_actor_Q_std,reference_action_mean,train/param_noise_distance
0.089708455,0.14110742704738183,0.6577645,121.25,-121.0,0.25642604,1,0.8051003,-121.0,-0.80068177,0.25,0.01996,32.854149555111604,-0.60626817,-0.2460385,30.376680374145508,0.6877887,8,8,998,-0.873225,0.24047,0.24102996,0.059550148,0.0
0.073621966,0.13163542127205916,0.6750965,111.41176470588235,-111.11764705882354,0.3223031,1,0.9139477,-111.11764705882354,-0.9013897,0.29411764705882354,0.01992,30.740168638057636,-0.7432633,-0.096973166,64.9963903427124,0.63453984,17,17,1998,-1.0050952,0.20917,0.3488538,0.01382523,0.0
0.07615993,0.11809509812579073,0.6404537,108.81481481481481,-108.44444444444444,0.3920869,1,1.0733414,-108.44444444444444,-1.0650579,0.37037037037037035,0.01988,30.946825938285,-0.8693333,-0.08544407,96.87584781646729,0.70406866,27,27,2998,-1.1740284,0.03733,0.4296459,-0.15925638,0.0
0.07572037,0.10559213694787022,0.63478476,107.13513513513513,-106.75675675675676,0.4997483,1,1.2930173,-106.75675675675676,-1.2991035,0.3783783783783784,0.01984,30.967249972436388,-0.982366,-0.08700771,129.10413432121277,0.7329651,37,37,3998,-1.4263921,0.10915,0.54175913,-0.059682444,0.0
0.07749913,0.09717859394548738,0.6269928,104.44680851063829,-104.06382978723404,0.58860135,1,1.4936088,-104.06382978723404,-1.508913,0.3829787234042553,0.0198,30.892108640636035,-1.1174432,-0.09203812,161.78889107704163,0.7811638,47,47,4998,-1.6731052,0.12243,0.61048853,0.057544094,0.0
0.07983493,0.09399723015050032,0.62510556,106.5,-106.14285714285714,0.75233793,1,1.6088798,-106.14285714285714,-1.690032,0.35714285714285715,0.01976,30.804710179444488,-1.2321587,-0.08450499,194.71048307418823,0.7758267,56,56,5998,-1.8912494,0.04488,0.74818987,0.019523213,0.0
0.07805775,0.08967643305474954,0.62468576,107.453125,-107.109375,0.87702614,1,1.6692114,-107.109375,-1.8575671,0.34375,0.01972,30.632229695672272,-1.3008987,-0.08031194,228.45219135284424,0.769525,64,64,6998,-2.1168478,0.08115,0.8643733,-0.062114615,0.0
0.08197382,0.08655764869895312,0.6278444,109.5068493150685,-109.17808219178082,0.97335637,1,1.7578279,-109.17808219178082,-1.9510169,0.3287671232876712,0.01968,30.42689350927392,-1.4209703,-0.074769944,262.8595652580261,0.7779629,73,73,7998,-2.2505636,0.1511,0.97670716,-0.098800935,0.0
0.08882341,0.08101982809377017,0.63093793,105.5952380952381,-105.23809523809524,1.1166482,1,1.8286606,-105.23809523809524,-2.1130123,0.35714285714285715,0.01964,30.208942543834958,-1.528252,-0.064288124,297.8588206768036,0.82273823,84,84,8998,-2.452064,0.06239,1.1488371,-0.08891437,0.0
0.09811022,0.06015195283223587,0.6342454,90.88181818181818,-86.79,1.2419577,1,1.905363,-90.42727272727272,-2.132306,0.48,0.0196,29.902054304180723,-1.6253955,-0.06390716,334.35829854011536,0.8395124,110,110,9998,-2.5057623,0.11857,1.2831868,-0.058931917,0.0
0.10560741,0.041591158366185654,0.63814235,78.84057971014492,-67.06,1.3528883,1,1.9437805,-78.30434782608695,-2.2317731,0.6,0.01957,29.65430304619351,-1.7397275,-0.063067086,370.873663187027,0.8415916,138,138,10998,-2.6335466,0.07823,1.3975176,-0.13431709,0.0
0.12362946,0.02164846667523619,0.6426232,62.16580310880829,-28.47,1.5077974,1,1.9982659,-61.51813471502591,-2.316733,0.87,0.01953,29.39830559328743,-1.8118818,-0.059305683,408.11875915527344,0.84878004,193,193,11998,-2.7266803,0.14815,1.5436198,-0.09626087,0.0
0.124281205,0.016353558909141766,0.6479332,50.16216216216216,-16.13,1.6034031,1,2.0220246,-49.42857142857143,-2.3192785,0.97,0.01949,29.12418136204301,-1.8771114,-0.05729169,446.2958061695099,0.84375167,259,259,12998,-2.7708676,0.02219,1.6483523,-0.14489888,0.0
0.14596386,0.01477645352451063,0.65517896,41.28613569321534,-11.96,1.714356,1,2.0554032,-40.48967551622419,-2.3461914,1.0,0.01945,28.929895834731134,-1.9494656,-0.0507137,483.8593294620514,0.8578946,339,339,13998,-2.823979,0.08189,1.7740331,-0.10651904,0.0
0.15888084,0.015421037797838377,0.6629201,36.23970944309927,-11.32,1.816764,1,2.0379097,-35.41162227602906,-2.3407776,0.98,0.01941,28.71488788511956,-2.0079503,-0.04270251,522.307454586029,0.8702229,413,413,14998,-2.8623142,0.03127,1.8687346,-0.056689333,0.0
0.16874048,0.018407596676765274,0.66995263,34.98249452954048,-17.28,1.9202155,1,1.9981139,-34.14442013129103,-2.3421934,0.95,0.01937,28.49509016173342,-2.0941832,-0.03932942,561.4300537109375,0.86776084,457,457,15998,-2.8940735,0.03144,1.9820622,-0.06981513,0.0
0.18768372,0.01597147381478868,0.67712647,31.5139146567718,-12.72,2.0283227,1,2.0257206,-30.651205936920224,-2.2311335,0.99,0.01933,28.282114536625965,-2.1534636,-0.03385597,601.0158815383911,0.8848501,539,539,16998,-2.8172112,0.03253,2.0802975,0.015805999,0.0
0.18642539,0.014971826334641837,0.68248385,28.708133971291865,-10.52,2.1281953,1,1.9653516,-27.827751196172247,-2.2547643,0.99,0.01929,28.060436541530397,-2.1916444,-0.03078143,641.4012830257416,0.88995177,627,627,17998,-2.8500767,0.01503,2.178941,-0.019951597,0.0
0.19434738,0.015906093891644428,0.68704987,27.207736389684815,-11.64,2.2053978,1,1.9662074,-26.316618911174785,-2.2007725,0.99,0.01926,27.888216958310085,-2.2454853,-0.024593906,681.2195999622345,0.89416045,698,698,18998,-2.798283,0.04044,2.2761178,-0.067371316,0.0
0.18336578,0.014529959584722361,0.6923207,24.99875,-8.82,2.2900229,1,1.9377702,-24.09375,-2.2228098,1.0,0.01922,27.678103724592415,-2.2933192,-0.018306343,722.5205960273743,0.8984139,800,800,19998,-2.8324137,0.05039,2.3315408,-0.040044326,0.0
0.19527712,0.01460425292406631,0.6967738,24.089655172413792,-11.87,2.356612,1,1.9116703,-23.17816091954023,-2.1548247,0.99,0.01918,27.52347582401456,-2.3370895,-0.013640758,762.9123637676239,0.89308006,870,870,20998,-2.7422252,0.0223,2.4151766,-0.0018077543,0.0
0.19250292,0.014112827519445599,0.70124334,22.631687242798353,-8.75,2.4606535,1,1.8809985,-21.71090534979424,-2.171064,1.0,0.01914,27.36633257469682,-2.379436,-0.010851385,803.8344173431396,0.89606357,972,972,21998,-2.746976,0.02881,2.4826186,-0.01626581,0.0
0.1978839,0.01375487885167167,0.70592546,21.418452935694315,-8.81,2.54491,1,1.7891241,-20.490214352283317,-2.129981,1.0,0.0191,27.195957514408246,-2.4266534,-0.0070633832,845.6403856277466,0.8940508,1073,1073,22998,-2.7465348,0.01927,2.587778,0.013551128,0.0
0.20481388,0.013505565932578466,0.7094858,20.05685618729097,-6.5,2.5415053,1,1.7498201,-19.12123745819398,-2.0820627,1.0,0.01906,27.026889894438277,-2.4461322,-0.009115907,887.9305052757263,0.8886244,1196,1196,23998,-2.6921835,0.02215,2.6101427,0.013449098,0.0
0.18479593,0.013586867422468858,0.7130168,18.75093773443361,-6.61,2.6164608,1,1.6927658,-17.808702175543885,-1.9847436,1.0,0.01903,26.886167858370893,-2.4596431,-0.008194212,929.7717745304108,0.89249307,1333,1333,24998,-2.6012502,0.15558,2.6763928,-0.0055631497,0.0
0.20263165,0.014241286000661801,0.7149714,18.327683615819208,-9.52,2.6925738,1,1.6470156,-17.383474576271187,-1.9636004,0.98,0.01899,26.77168118271027,-2.4521055,-0.010729228,971.10076212883,0.8959756,1416,1416,25998,-2.5762901,0.05002,2.736212,-0.024033248,0.0
0.18557589,0.013727894770168076,0.7174151,17.805408970976252,-9.42,2.730715,1,1.6200153,-16.858179419525065,-1.9594364,0.99,0.01895,26.68281782183199,-2.4780312,-0.007955314,1011.8121774196625,0.8964844,1516,1516,26998,-2.5696764,0.04719,2.762313,0.0041202134,0.0
0.1825014,0.013227403973901996,0.71981925,17.13402692778458,-7.67,2.8002017,1,1.5463709,-16.182986536107713,-1.8746232,1.0,0.01891,26.523386511176724,-2.4996004,-0.005951546,1055.5967273712158,0.893463,1634,1634,27998,-2.473963,0.05254,2.8380802,0.02219885,0.0
0.17347354,0.01379425314769221,0.722655,16.521367521367523,-7.08,2.8344047,1,1.4940318,-15.566951566951566,-1.7842773,1.0,0.01887,26.430978428479023,-2.5190425,-0.0063239397,1097.1217005252838,0.89890754,1755,1755,28998,-2.3953762,0.04418,2.8625221,-0.015358661,0.0
0.17897713,0.01379413183245157,0.7258391,16.029930518439336,-7.9,2.886,1,1.4670101,-15.072688401924104,-1.8635316,1.0,0.01884,26.344672409322115,-2.5506701,-0.0028078544,1138.6742463111877,0.883918,1871,1871,29998,-2.461031,0.10592,2.8991926,-0.0860284,0.0
0.17801395,0.013631298586349183,0.728216,15.569060773480663,-7.46,2.9600918,1,1.3802067,-14.60924158714214,-1.7467955,1.0,0.0188,26.25704551137983,-2.565131,-0.0020427585,1180.559327840805,0.88062143,1991,1991,30998,-2.359994,0.21017,2.9801295,-0.085332714,0.0
0.16996515,0.013786899103603329,0.7307217,15.317855433221638,-9.07,2.9724035,1,1.4042395,-14.356151268549546,-1.7345214,1.0,0.01876,26.19708356647668,-2.6045454,-0.00079037616,1221.4336729049683,0.88683283,2089,2089,31998,-2.3537374,0.04716,2.9822085,-0.041851226,0.0
0.16415912,0.013819358796269663,0.73303515,14.976849750340445,-6.97,3.0112083,1,1.3729304,-14.013163867453473,-1.7029762,1.0,0.01872,26.12244323866043,-2.6324456,0.0016350079,1263.2049651145935,0.8830874,2203,2203,32998,-2.3469386,0.02216,3.0215771,-0.05612194,0.0
0.15784806,0.013399461337839834,0.73519254,14.615219260533104,-6.64,3.0345933,1,1.3312447,-13.649613069647463,-1.68788,1.0,0.01869,26.0555037268415,-2.6554859,0.004387114,1304.8298876285553,0.8949423,2326,2326,33998,-2.3251886,0.07076,3.0389118,-0.03313732,0.0
0.15661354,0.01330478434267264,0.7371959,14.294237842255823,-6.9,3.0600665,1,1.3161169,-13.326930935839805,-1.6267279,1.0,0.01865,25.99070875999079,-2.6611083,0.003944064,1346.5581228733063,0.8902899,2447,2447,34998,-2.2811894,0.03243,3.0701754,-0.021063266,0.0
0.15837015,0.013882806944375993,0.73886037,14.039781591263651,-7.61,3.1011133,1,1.2373117,-13.070982839313572,-1.6311777,1.0,0.01861,25.926255134635408,-2.6760817,0.002327302,1388.47665476799,0.8886086,2564,2564,35998,-2.2691402,0.06065,3.083176,-0.038990114,0.0
0.14725886,0.012566774515575361,0.7406161,13.758646336928226,-6.98,3.145456,1,1.2130845,-12.788397173670509,-1.6312481,1.0,0.01858,25.862391672485863,-2.682359,0.0021012374,1430.5714826583862,0.8939311,2689,2689,36998,-2.2492375,0.17217,3.1266384,-0.048057865,0.0
0.15761115,0.013444585775887618,0.74224454,13.465627214741318,-6.08,3.1168158,1,1.232369,-12.493975903614459,-1.6444191,1.0,0.01854,25.80215132692079,-2.6890583,0.0006603754,1472.667899608612,0.89145297,2822,2822,37998,-2.277875,0.01341,3.0934877,0.01710459,0.0
0.15495557,0.013244333488304127,0.7440113,13.255695341720504,-7.36,3.1646216,1,1.1886227,-12.28289697381843,-1.5653541,1.0,0.0185,25.742368015444285,-2.7080352,0.000398412,1514.9344449043274,0.891629,2941,2941,38998,-2.1961827,0.05572,3.1476364,-0.059131652,0.0
0.14517242,0.013334721190534159,0.74532396,13.09990173599738,-7.87,3.1634927,1,1.1362721,-12.12610547002948,-1.5949908,1.0,0.01846,25.68816493914895,-2.7205334,0.00134487,1557.0594511032104,0.89206046,3053,3053,39998,-2.2137072,0.16305,3.1257498,-0.01370839,0.0
0.14407326,0.013359030001437844,0.74665695,12.965211891208096,-8.41,3.2187607,1,1.1377063,-11.990512333965844,-1.5976114,1.0,0.01843,25.628822820805965,-2.7335982,0.0028833966,1599.6833052635193,0.8901482,3162,3162,40998,-2.215145,0.08023,3.1886895,-0.009481034,0.0
