rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-116.0,-0.99775064,8,0.5590029,0.14417,0.375,998,8,0.09727744,-0.004893169,-0.04433379,0.91756195,-0.6779856,116.375,-116.0,31.559174946876638,0.10499506082258184,0.085358106,0.42043316,-0.9364042,0.01996,31.623133420944214,0.0,0.09256743,1
-102.21052631578948,-1.1587179,19,0.60809815,0.14184,0.42105263157894735,1998,19,0.089123935,-0.17670862,-0.05084372,0.99768466,-0.8099398,102.63157894736842,-102.21052631578948,30.98622849431323,0.08945886106666862,0.14606264,0.4936652,-1.07103,0.01992,64.4802577495575,0.0,0.14923184,1
-99.44827586206897,-1.3369621,29,0.59315604,0.08446,0.4827586206896552,2998,29,0.09031255,-0.1467178,-0.062024232,1.1292145,-0.90099704,99.93103448275862,-99.44827586206897,30.632047306911147,0.0755074298337385,0.18768124,0.50685126,-1.2738845,0.01988,97.87135577201843,0.0,0.19635679,1
-104.63157894736842,-1.5923643,38,0.6646071,0.07887,0.47368421052631576,3998,38,0.08624885,-0.11261452,-0.051952086,1.3004143,-1.0153658,105.10526315789474,-104.63157894736842,30.468185956137358,0.07620308979970417,0.25778165,0.5140413,-1.4809785,0.01984,131.21883940696716,0.0,0.26803112,1
-106.1086956521739,-1.8716855,46,0.76437044,0.12298,0.43478260869565216,4998,46,0.086335585,-0.000118430704,-0.042886004,1.4998301,-1.1501423,106.54347826086956,-106.1086956521739,30.427522550600187,0.08405552832833486,0.3561116,0.5343841,-1.7259982,0.0198,164.25918316841125,0.0,0.35609907,1
-109.83333333333333,-2.1296387,54,0.7608878,0.0591,0.3888888888888889,5998,54,0.09472576,0.05946525,-0.02904248,1.6725389,-1.3067508,110.22222222222223,-109.83333333333333,30.47727412953986,0.09338242148510557,0.42951646,0.55449784,-1.9425393,0.01976,196.8023772239685,0.0,0.45505744,1
-105.21538461538462,-2.3298473,65,0.7870848,0.18498,0.4153846153846154,6998,65,0.11297424,0.048337966,-0.018681556,1.7257254,-1.4325207,105.63076923076923,-105.21538461538462,30.397723192803245,0.09179864718429444,0.5407852,0.57390267,-2.07725,0.01972,230.21461033821106,0.0,0.5795327,1
-101.97402597402598,-2.5468554,77,0.80830413,0.08165,0.42857142857142855,7998,77,0.12471736,0.025092997,-0.019036591,1.7364647,-1.556929,102.40259740259741,-101.97402597402598,30.320304820532222,0.08841550836521565,0.61914295,0.5820707,-2.2132187,0.01968,263.7836277484894,0.0,0.68310666,1
-75.79,-2.6451035,111,0.84097344,0.05129,0.59,8998,111,0.13380505,0.010363762,-0.020693244,1.727449,-1.632271,80.09909909909909,-79.53153153153153,30.111619724541054,0.06542660458268465,0.7195636,0.59372437,-2.2332323,0.01964,298.8215208053589,0.0,0.8269934,1
-42.42,-2.747323,152,0.86141187,0.0312,0.81,9998,152,0.14111395,-0.0016541934,-0.016659494,1.6956444,-1.6874896,65.625,-64.95394736842105,29.820818239237916,0.03584236347585347,0.8604807,0.6007652,-2.2749784,0.0196,335.26913714408875,0.0,0.9998465,1
-14.15,-2.8429198,230,0.8739938,0.09645,0.99,10998,230,0.15852411,0.076171935,-0.014534343,1.6749579,-1.738841,47.81304347826087,-47.03478260869565,29.581679778210024,0.015958357493497825,0.98017895,0.6134633,-2.3240123,0.01957,371.78416109085083,0.0,1.1531012,1
