rollout/Q_mean,total/duration,total/episodes,errors,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,rollout/goal_tolerance,train/loss_actor,reference_action_mean,total/steps_per_second,success rate,train/loss_critic,reference_action_std,rollout/return_history,reference_Q_std,rollout/return,total/steps,total/epochs,rollout/error,reference_actor_Q_mean,reference_Q_mean,rollout/actions_mean,rollout/episodes,rollout/episode_steps
-0.6736776,31.183131217956543,11,0.09193096137749994,0.0,0.22407693,0.44384333,0.01996,0.8528797,-0.09771525,32.00448322602414,0.5454545454545454,0.09983324,0.60976434,-84.0,0.20729534,-84.0,998,1,0.22946,-0.8277645,-0.8955288,-0.032818545,11,84.54545454545455
-0.7962057,63.993123054504395,20,0.10740757722271492,0.0,0.29165396,0.54798234,0.01992,0.9833271,0.06576086,31.222104886149378,0.4,0.08621719,0.65759283,-99.1,0.266086,-99.1,1998,1,0.12507,-0.9712363,-1.0468562,-0.037495263,20,99.5
-0.89031607,96.97935438156128,30,0.09809329124645523,0.0,0.3747547,0.54406327,0.01988,1.1415805,-0.15815216,30.913796231355516,0.4,0.082239226,0.6559132,-97.16666666666667,0.3436417,-97.16666666666667,2998,1,0.07956,-1.173847,-1.2569615,-0.025142433,30,97.56666666666666
-1.035314,127.5681369304657,40,0.09801279496290284,0.0,0.4513869,0.5429115,0.01984,1.3785722,-0.13760471,31.340114359271492,0.4,0.072688945,0.6678694,-99.575,0.43412396,-99.575,3998,1,0.03847,-1.3841667,-1.480324,-0.03800548,40,99.975
-1.1300131,158.9804880619049,48,0.09346450087608386,0.0,0.59797305,0.55132324,0.0198,1.510656,-0.07240381,31.437820206300064,0.375,0.07596598,0.7350675,-102.0,0.55213845,-102.0,4998,1,0.16605,-1.6036313,-1.7394174,-0.047036745,48,102.375
-1.2426989,190.51196575164795,59,0.08776704372534727,0.0,0.6993021,0.5644354,0.01976,1.640396,0.0010997156,31.483586746561702,0.3898305084745763,0.06830561,0.7425653,-100.22033898305085,0.64819247,-100.22033898305085,5998,1,0.03922,-1.790988,-1.9630188,-0.05941234,59,100.61016949152543
-1.2826715,222.40122890472412,74,0.07594652402112573,0.0,0.8252377,0.5727123,0.01972,1.6929257,0.06109483,31.46565346991818,0.44594594594594594,0.073703684,0.76887107,-94.02702702702703,0.7833288,-94.02702702702703,6998,1,0.0426,-2.002365,-2.2040086,-0.053245604,74,94.47297297297297
-1.3902022,255.55892181396484,87,0.0699572251462009,0.0,0.9281672,0.5816883,0.01968,1.7817626,0.016277025,31.296109496901764,0.4827586206896552,0.077049606,0.796211,-90.02298850574712,0.8669179,-90.02298850574712,7998,1,0.05354,-2.1609614,-2.4137483,-0.052521795,87,90.50574712643679
-1.5209398,289.83864426612854,105,0.0632762853792122,0.0,1.0774828,0.59271353,0.01964,1.868625,0.00924426,31.044859538254247,0.51,0.08102562,0.82451856,-83.59,0.9968457,-83.84761904761905,8998,1,0.11438,-2.2975886,-2.5945914,-0.049763963,105,84.36190476190477
-1.5856748,325.4166679382324,131,0.04261118499665849,0.0,1.1866524,0.60428965,0.0196,1.9111524,0.045792747,30.723687459972787,0.63,0.096074454,0.84361553,-68.59,1.101381,-75.7557251908397,9998,1,0.05766,-2.383533,-2.7180514,-0.03982034,131,76.32824427480917
-1.6775733,361.6960606575012,157,0.030068563087386112,0.0,1.2843535,0.60956526,0.01957,1.9542102,-0.0012083488,30.40674532094026,0.75,0.10221813,0.86067444,-51.25,1.1943243,-69.32484076433121,10998,1,0.08779,-2.4982815,-2.8806744,-0.033747748,157,69.94267515923566
-1.7651956,398.0265202522278,217,0.01862862560327732,0.0,1.3826468,0.61907464,0.01953,2.011573,0.046204183,30.143720052615883,0.91,0.119215526,0.87321997,-25.12,1.2823963,-54.566820276497694,11998,1,0.18681,-2.5957665,-3.0203834,-0.032843582,217,55.28110599078341
-1.8543509,436.7222499847412,273,0.016113928946820996,0.0,1.4612832,0.62758625,0.01949,2.01708,0.048641596,29.762623728134166,0.98,0.12937321,0.8740156,-14.25,1.3885183,-46.67765567765568,12998,1,0.05246,-2.6821153,-3.1204424,-0.023562932,273,47.443223443223445
-1.9235276,475.625990152359,313,0.01717624569672789,0.0,1.5785482,0.6346487,0.01945,2.0314872,0.06958854,29.430687745881947,0.94,0.13636923,0.8766041,-19.32,1.4902645,-43.92012779552716,13998,1,0.0524,-2.6935701,-3.1854398,-0.022653645,313,44.70287539936102
-1.9782621,514.4765589237213,379,0.015010743582864734,0.0,1.6870613,0.642446,0.01941,2.0454721,0.08903265,29.151959870388716,0.98,0.15604535,0.8738626,-16.29,1.6130977,-38.74142480211082,14998,1,0.04403,-2.7112923,-3.207931,-0.017481176,379,39.562005277044854
-2.0317187,554.1795291900635,478,0.014055753305312401,0.0,1.7879944,0.65179867,0.01937,1.9996121,0.0060180253,28.86790138816778,1.0,0.16076961,0.882682,-8.92,1.6872383,-32.57531380753138,15998,1,0.0807,-2.7958775,-3.3173723,-0.0115958555,478,33.43305439330544
-2.1021235,593.9884822368622,546,0.01468496462707703,0.0,1.875157,0.65812093,0.01933,2.0036533,0.06464907,28.616716499263333,1.0,0.16254786,0.88597184,-10.75,1.7514256,-30.10805860805861,16998,1,0.12482,-2.7375293,-3.2710404,-0.007527668,546,30.983516483516482
-2.1418219,635.551470041275,661,0.013570532471699648,0.0,1.9954563,0.665431,0.01929,1.9858267,0.044892516,28.31871350849231,1.0,0.17171448,0.8947622,-7.04,1.8417149,-26.32375189107413,17998,1,0.0234,-2.8303683,-3.3757281,-0.009178387,661,27.22087745839637
-2.207636,677.3119685649872,755,0.015561387665190884,0.0,2.0948138,0.67233646,0.01926,1.9916686,-0.0013767555,28.049113084847498,0.99,0.17319182,0.8976769,-9.28,1.9590561,-24.242384105960266,18998,1,0.06811,-2.752821,-3.3245997,-0.006082887,755,25.150993377483445
-2.2499864,718.3897564411163,836,0.01394234148510365,0.0,2.1577263,0.67657846,0.01922,1.9720377,-0.07341804,27.837256615502923,1.0,0.17463069,0.89613086,-10.79,2.040751,-23.00358851674641,19998,1,0.13251,-2.79142,-3.3665452,-0.0027330269,836,23.92105263157895
-2.3199353,759.34277176857,926,0.01450308540090264,0.0,2.2524626,0.682303,0.01918,1.9579315,-0.06514672,27.65286084319204,0.99,0.18153104,0.8996889,-9.87,2.1188323,-21.737580993520517,20998,1,0.01974,-2.7274408,-3.3577049,-0.00075787184,926,22.661987041036717
-2.35644,800.2088832855225,1049,0.013875097090418035,0.0,2.3379755,0.68811435,0.01914,1.9056478,0.0016333815,27.490322163982896,1.0,0.17395176,0.89873916,-6.99,2.2172692,-20.02287893231649,21998,1,0.03001,-2.7214832,-3.3492289,-0.00068062724,1049,20.956148713060056
-2.3999274,841.3098084926605,1171,0.013812389781860035,0.0,2.4197602,0.6932536,0.0191,1.894091,-0.020650417,27.33594660117484,1.0,0.16425656,0.8986806,-7.24,2.3008244,-18.700256191289498,22998,1,0.02235,-2.766654,-3.3906677,-0.0011399298,1171,19.64047822374039
-2.440995,882.5038015842438,1284,0.013554249809550762,0.0,2.499037,0.6980202,0.01906,1.8893586,-0.050754428,27.19308399229502,1.0,0.1755055,0.8932247,-7.39,2.3636217,-17.742990654205606,23998,1,0.07424,-2.7517114,-3.3656583,-0.0017109396,1284,18.68847352024922
-2.4595776,924.6195561885834,1398,0.012995995041608466,0.0,2.6090646,0.70226884,0.01903,1.8623596,-0.033604153,27.03598451134367,0.99,0.16471678,0.8934808,-7.58,2.4853468,-16.929184549356222,24998,1,0.03599,-2.7779312,-3.398868,-0.0023040986,1398,17.878397711015737
-2.49344,965.8889484405518,1522,0.013496183180524415,0.0,2.6715915,0.70605916,0.01899,1.8358456,-0.10525954,26.91613776301543,0.99,0.17124324,0.889062,-7.52,2.5562632,-16.128120893561103,25998,1,0.03234,-2.7471595,-3.3736641,-0.00032968484,1522,17.080814717477004
-2.502117,1007.9580590724945,1628,0.01370756768506495,0.0,2.7331276,0.70914435,0.01895,1.8156776,-0.11301116,26.78484462423277,1.0,0.16232775,0.8941956,-7.03,2.6261036,-15.627764127764127,26998,1,0.02357,-2.797258,-3.4330232,-0.0018695076,1628,16.582923832923832
-2.5097308,1049.528578042984,1776,0.01264816897037157,0.0,2.8044999,0.7126298,0.01891,1.7557515,-0.08199794,26.676739048122734,1.0,0.15926097,0.891741,-6.09,2.6954398,-14.80123873873874,27998,1,0.10313,-2.8038135,-3.442706,-0.0024745555,1776,15.760135135135135
-2.5346718,1090.8957471847534,1895,0.01363474888459066,0.0,2.8547525,0.7154717,0.01887,1.7304503,-0.11848516,26.58182514216816,1.0,0.16438475,0.89599514,-6.94,2.746701,-14.338786279683378,28998,1,0.11328,-2.7270083,-3.3808424,-0.0025641394,1895,15.300263852242743
-2.5718713,1133.9935162067413,2015,0.013150803573685066,0.0,2.9402976,0.7184601,0.01884,1.7634791,-0.11293322,26.453414037449388,1.0,0.15696837,0.89661014,-7.06,2.8409762,-13.921588089330024,29998,1,0.03027,-2.7582474,-3.4093924,-0.0035756472,2015,14.885359801488834
