reference_Q_mean,train/loss_actor,reference_action_mean,total/steps_per_second,rollout/error,reference_actor_Q_std,total/steps,rollout/actions_std,reference_action_std,total/episodes,reference_Q_std,rollout/return_history,rollout/episodes,rollout/return,rollout/episode_steps,total/duration,train/param_noise_distance,success rate,errors,rollout/actions_mean,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,total/epochs
-0.83895266,0.7881945,-0.17898099,30.08344099197042,0.09636,0.09240603,998,0.64466107,0.68345946,9,0.09091073,-100.77777777777777,9,-100.77777777777777,101.11111111111111,33.17439651489258,0.0,0.3333333333333333,0.06171743454549213,-0.08802467,0.01996,-0.7748792,0.16957298,-0.5964584,1
-1.0240083,0.76638985,-0.14245203,30.660791924911067,0.08608,0.1801521,1998,0.6274896,0.69010615,20,0.16195337,-94.9,20,-94.9,95.3,65.16465735435486,0.0,0.4,0.06442750971600693,-0.09352716,0.01992,-0.891118,0.13820136,-0.7117061,1
-1.0751653,0.87203676,0.020235859,30.955629922891784,0.27602,0.26890033,2998,0.6295812,0.7193629,27,0.24635805,-109.18518518518519,27,-109.18518518518519,109.48148148148148,96.84829568862915,0.0,0.2962962962962963,0.07296615690747318,-0.11905486,0.01988,-0.93434143,0.10680382,-0.82524365,1
-1.2826545,1.0078622,-0.07498791,30.85506512801428,0.09867,0.34046924,3998,0.6360793,0.7298295,36,0.31667805,-107.22222222222223,36,-107.22222222222223,107.52777777777777,129.57353949546814,0.0,0.3055555555555556,0.08167189715668871,-0.09381616,0.01984,-1.1419319,0.08007254,-0.97893775,1
-1.4256828,1.1157851,-0.16686852,30.8241029246444,0.13831,0.4340456,4998,0.63310343,0.7174,46,0.4185398,-107.21739130434783,46,-107.21739130434783,107.52173913043478,162.14583802223206,0.0,0.30434782608695654,0.08226619084432774,-0.09186897,0.0198,-1.2595799,0.067756295,-1.092348,1
-1.6188687,1.2054591,-0.09938706,30.677196448062826,0.10673,0.5418379,5998,0.6405931,0.77590466,57,0.51727873,-103.70175438596492,57,-103.70175438596492,104.03508771929825,195.51982235908508,0.0,0.3333333333333333,0.07673599444575618,-0.07730576,0.01976,-1.4104068,0.07292941,-1.1953619,1
-1.8281047,1.2467663,-0.085489295,30.449897181563014,0.08414,0.6583786,6998,0.63928777,0.80235565,72,0.63082224,-96.45833333333333,72,-96.45833333333333,96.86111111111111,229.82015204429626,0.0,0.4027777777777778,0.06955848528115528,-0.07690696,0.01972,-1.568582,0.07786889,-1.3096213,1
-1.9459358,1.2752371,-0.052807946,30.00860577643069,0.07157,0.8175108,7998,0.6478218,0.80196345,85,0.7666453,-92.96470588235294,85,-92.96470588235294,93.38823529411765,266.52354526519775,0.0,0.4235294117647059,0.0667870702280511,-0.06980766,0.01968,-1.5809063,0.088942096,-1.4143282,1
-2.0399344,1.3436066,0.007393986,29.833985000038872,0.05556,0.9719548,8998,0.6578329,0.8129659,103,0.90539634,-84.97,103,-85.47572815533981,85.95145631067962,301.60235047340393,0.0,0.48,0.06081934472893485,-0.06644806,0.01964,-1.5776205,0.096582785,-1.5192686,1
-2.086062,1.3530486,0.05809648,29.616892819437115,0.16288,1.1483121,9998,0.66585976,0.8252627,117,1.0775603,-83.32,117,-84.4017094017094,84.88034188034187,337.5776135921478,0.0,0.49,0.058894846707101316,-0.06761879,0.0196,-1.5150551,0.10621968,-1.6417515,1
-2.2035184,1.385363,0.058129806,29.408836062509515,0.08355,1.2604084,10998,0.6716638,0.8297636,139,1.1844505,-67.64,139,-78.58992805755396,79.11510791366906,373.96923756599426,0.0,0.61,0.04332161227744729,-0.056551676,0.01957,-1.573241,0.118302174,-1.735287,1
-2.1313741,1.3835951,0.074942805,29.2201236134865,0.02354,1.3962833,11998,0.674839,0.8216437,170,1.3233862,-50.09,170,-69.9235294117647,70.51176470588236,410.60743474960327,0.0,0.73,0.03335280303764446,-0.05344034,0.01953,-1.4288958,0.13007165,-1.8081136,1
-2.0334606,1.3702354,-0.023792455,28.99695270105868,0.10469,1.4982493,12998,0.67917216,0.837057,200,1.46721,-41.34,200,-63.855,64.485,448.2539987564087,0.0,0.79,0.029195353703546697,-0.049766585,0.01949,-1.3093493,0.14330488,-1.8997858,1
-2.0125313,1.4272572,0.044967294,28.741175261825383,0.1253,1.5611349,13998,0.68350416,0.8312253,245,1.550336,-25.16,245,-56.24081632653061,56.922448979591834,487.0364511013031,0.0,0.9,0.022905227047877116,-0.042622786,0.01945,-1.2265704,0.15101561,-1.9940461,1
-1.9226199,1.4632465,-0.032169204,28.48426450557229,0.06621,1.6359544,14998,0.6880064,0.8440083,286,1.6380774,-23.77,286,-51.33216783216783,52.04545454545455,526.5363266468048,0.0,0.9,0.02366537611323892,-0.041549295,0.01941,-1.1522381,0.15833524,-2.0796432,1
-1.8271041,1.4996364,0.02587817,28.16285493247183,0.03145,1.66672,15998,0.69301414,0.84045094,376,1.7103007,-10.87,376,-41.723404255319146,42.5,568.0532047748566,0.0,0.98,0.015296015869662418,-0.038778014,0.01937,-1.0060675,0.17263752,-2.1334026,1
