rollout/error,errors,rollout/return,reference_action_mean,rollout/episodes,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,rollout/actions_mean,rollout/Q_mean,total/steps,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,reference_Q_std,success rate,rollout/goal_tolerance,rollout/actions_std,total/duration,total/episodes,reference_actor_Q_std,rollout/episode_steps,total/epochs
0.18841,0.13983751737379332,-130.0,-0.11404779,7,-130.0,0.061499063,0.48123944,-0.4509317,-0.058015786,-0.6390863,998,0.5063134,-0.52832997,39.62993481596025,0.0,0.42869458,0.14285714285714285,0.01996,0.66594124,25.18298363685608,7,0.41480738,130.14285714285714,1
0.23901,0.11098778191952088,-116.17647058823529,-0.03887644,17,-116.17647058823529,0.063613586,0.5256889,-0.58204067,-0.038476873,-0.8168497,1998,0.8268825,-0.6586818,34.75898395629522,0.0,0.5074786,0.29411764705882354,0.01992,0.5715021,57.481542110443115,17,0.5025313,116.47058823529412,1
0.09508,0.11740267711593229,-125.0,-0.12433755,23,-125.0,0.0733386,0.5841043,-0.6349133,-0.050202623,-0.9570516,2998,1.0422568,-0.71201676,33.33897636316178,0.0,0.6139863,0.21739130434782608,0.01988,0.5695004,89.92477655410767,23,0.6100441,125.21739130434783,1
0.0849,0.12295412064191477,-130.83333333333334,-0.1574282,30,-130.83333333333334,0.06658498,0.601907,-0.77110195,-0.06015835,-1.0516677,3998,1.2585032,-0.87052035,33.16994911407621,0.0,0.7684619,0.16666666666666666,0.01984,0.55183643,120.53078484535217,30,0.78309476,131.0,1
0.04971,0.11558344188282496,-125.3076923076923,-0.13206445,39,-125.3076923076923,0.068615764,0.66894066,-0.86183804,-0.06584428,-1.1630933,4998,1.4297616,-0.987867,33.09359885531185,0.0,0.94887173,0.23076923076923078,0.0198,0.5417912,151.02618551254272,39,0.96095437,125.53846153846153,1
0.17643,0.1067365328424575,-120.53061224489795,-0.22423472,49,-120.53061224489795,0.08698627,0.6931103,-0.96713394,-0.06650187,-1.2941141,5998,1.6215473,-1.1150978,32.84656986584344,0.0,1.1251398,0.2653061224489796,0.01976,0.5563333,182.60658645629883,49,1.1388915,120.79591836734694,1
0.15279,0.10451007200054156,-122.25,-0.27993733,56,-122.25,0.096248016,0.701921,-1.0512587,-0.06698761,-1.4178377,6998,1.7631723,-1.1906993,32.525642164290694,0.0,1.3189527,0.26785714285714285,0.01972,0.5669364,215.15332317352295,56,1.3308243,122.51785714285714,1
0.1317,0.09994092057543903,-119.65151515151516,-0.2008241,66,-119.65151515151516,0.114585534,0.7458604,-1.1706107,-0.0822088,-1.5510263,7998,1.8056276,-1.3277521,32.40280071341861,0.0,1.511033,0.2878787878787879,0.01968,0.5776974,246.83051538467407,66,1.4975386,119.93939393939394,1
0.10648,0.0993054518260725,-119.45333333333333,-0.18548726,75,-119.45333333333333,0.12934195,0.7548215,-1.207032,-0.07918977,-1.6841431,8998,1.8553406,-1.3999141,32.210579750379146,0.0,1.6932224,0.28,0.01964,0.58631974,279.3492097854614,75,1.6715606,119.73333333333333,1
0.10491,0.08844886784518129,-110.44444444444444,-0.22494642,90,-110.44444444444444,0.1444143,0.77285594,-1.2152505,-0.07149873,-1.7754152,9998,1.9558475,-1.4253061,32.08137805449992,0.0,1.8353852,0.34444444444444444,0.0196,0.59629875,311.644966840744,90,1.816847,110.78888888888889,1
