rollout/episodes,reference_actor_Q_std,rollout/return_history,reference_Q_mean,total/steps,total/steps_per_second,train/loss_critic,rollout/goal_tolerance,success rate,reference_actor_Q_mean,reference_Q_std,rollout/return,rollout/actions_std,rollout/actions_mean,rollout/Q_mean,reference_action_std,train/loss_actor,reference_action_mean,total/episodes,rollout/error,errors,train/param_noise_distance,rollout/episode_steps,total/duration,total/epochs
7,0.092642955,-122.14285714285714,-0.9543869,998,30.236404793666424,0.10759542,0.01996,0.2857142857142857,-0.9005569,0.09117535,-122.14285714285714,0.4348606,-0.0045041633,-0.6940231,0.46617505,0.9065244,0.0035360854,7,0.19516,0.07880857466198461,0.0,122.42857142857143,33.006569623947144,1
14,0.17193136,-132.71428571428572,-1.1069365,1998,29.40990659261633,0.08110354,0.01992,0.21428571428571427,-1.0243247,0.16703214,-132.71428571428572,0.51186657,0.006467109,-0.8350969,0.5889375,1.0410509,0.00839628,14,0.12714,0.10618351180557946,0.0,132.92857142857142,67.93629193305969,1
23,0.24264552,-126.04347826086956,-1.258341,2998,29.617659636085577,0.07679792,0.01988,0.2608695652173913,-1.1754785,0.2466299,-126.04347826086956,0.53407854,-0.0037188923,-0.9507259,0.5879997,1.1831597,-0.04439819,23,0.07146,0.10366958182840529,0.0,126.30434782608695,101.22339296340942,1
33,0.32347167,-120.54545454545455,-1.4652998,3998,29.79274779774313,0.07641952,0.01984,0.2727272727272727,-1.3507123,0.3352922,-120.54545454545455,0.534346,-0.003340053,-1.077756,0.6648017,1.3661247,-0.063115254,33,0.124,0.09798008013281297,0.0,120.81818181818181,134.19373154640198,1
40,0.40437365,-122.15,-1.7063522,4998,29.706537557079102,0.07244058,0.0198,0.25,-1.5571778,0.42610407,-122.15,0.5541744,0.0027707252,-1.2044102,0.70262444,1.4500542,-0.06751495,40,0.05649,0.10959541896446374,0.0,122.4,168.24579405784607,1
48,0.504872,-123.89583333333333,-1.8717403,5998,29.675120618601834,0.07370764,0.01976,0.22916666666666666,-1.6734111,0.51363707,-123.89583333333333,0.55574125,-0.0029251238,-1.306216,0.71859723,1.5510331,-0.063821994,48,0.04957,0.10526942503469172,0.0,124.125,202.1221776008606,1
57,0.61244684,-120.71929824561404,-2.069006,6998,29.500796621550673,0.07285046,0.01972,0.24561403508771928,-1.7985687,0.6211603,-120.71929824561404,0.5707032,0.0057917205,-1.41014,0.74014795,1.6042789,0.004468272,57,0.15964,0.10047910834183042,0.0,120.96491228070175,237.2139332294464,1
68,0.686102,-115.54411764705883,-2.1974916,7998,29.52503025913426,0.08435855,0.01968,0.27941176470588236,-1.8493855,0.7253127,-115.54411764705883,0.5798995,0.004453405,-1.4875875,0.78767526,1.6443535,0.058962807,68,0.0491,0.0943271627372597,0.0,115.82352941176471,270.8887994289398,1
93,0.801476,-95.19354838709677,-2.3180387,8998,29.278796287180555,0.09707145,0.01964,0.41935483870967744,-1.8822982,0.81806624,-95.19354838709677,0.591493,0.0061531784,-1.5869861,0.8167473,1.6919442,0.0154708,93,0.06892,0.07602825751495391,0.0,95.61290322580645,307.32137727737427,1
150,0.9423967,-36.59,-2.4068143,9998,28.98608735109079,0.11079794,0.0196,0.83,-1.9143755,0.92148864,-66.04,0.60465103,0.008174034,-1.6737084,0.843095,1.703588,0.031468682,150,0.01239,0.028508421779958933,0.0,66.66666666666667,344.92409682273865,1
