reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return_history,reference_Q_std,rollout/return,train/param_noise_distance,success rate,reference_actor_Q_mean,reference_Q_mean,rollout/actions_std,total/steps,rollout/Q_mean,train/loss_critic,total/steps_per_second,total/duration,rollout/goal_tolerance,reference_action_std,rollout/error,total/episodes,rollout/episodes,errors,reference_action_mean,train/loss_actor,rollout/actions_mean
0.09890015,103.11111111111111,1,-102.66666666666667,0.09927924,-102.66666666666667,0.0,0.4444444444444444,-0.9416526,-0.9957129,0.48170775,998,-0.68748933,0.073051445,32.6827565531325,30.535979986190796,0.01996,0.6190381,0.19413,9,9,0.0860638109054685,0.11468526,0.909713,0.028045014
0.13486381,76.04,1,-75.48,0.13378324,-75.48,0.0,0.56,-1.1145964,-1.1822612,0.55199456,1998,-0.8568849,0.059918836,31.491031908320778,63.4466347694397,0.01992,0.5908039,0.18607,25,25,0.07190032345820416,-0.08959072,1.0919114,0.027693667
0.19789317,72.3,1,-71.7,0.18226029,-71.7,0.0,0.6,-1.343102,-1.4100025,0.5741751,2998,-0.88826466,0.07954855,31.676981234673853,94.64285683631897,0.01988,0.6444829,0.04374,40,40,0.06218792120069174,0.024549507,1.1938303,0.027225303
0.2573482,77.68,1,-77.1,0.2410648,-77.1,0.0,0.58,-1.539334,-1.637107,0.5807041,3998,-0.99707365,0.06635653,31.61586108265825,126.4555151462555,0.01984,0.6159126,0.10733,50,50,0.058323078802938196,0.06431174,1.3361297,0.028431399
0.32976988,71.12857142857143,1,-70.5,0.3133447,-70.5,0.0,0.6285714285714286,-1.8247248,-1.9416901,0.5816088,4998,-1.1113786,0.066251405,31.4435894875603,158.95131826400757,0.0198,0.6526164,0.02906,70,70,0.056177483377364563,0.09550772,1.5071949,0.03562902
0.4181587,74.89873417721519,1,-74.30379746835443,0.38176593,-74.30379746835443,0.0,0.5949367088607594,-2.0462322,-2.2159991,0.5880686,5998,-1.2419486,0.06330701,31.32191887839605,191.49529194831848,0.01976,0.7064866,0.18472,79,79,0.05737581770635464,0.09344643,1.6623653,0.03943772
0.5247226,67.72815533980582,1,-66.11,0.46329185,-67.09708737864078,0.0,0.64,-2.246264,-2.4662228,0.5888961,6998,-1.3415169,0.06934408,31.13026484195538,224.7973165512085,0.01972,0.75831,0.0884,103,103,0.05000283371516299,0.011777532,1.7713917,0.029697234
0.64588004,67.58119658119658,1,-64.35,0.5527447,-66.94871794871794,0.0,0.65,-2.389297,-2.666892,0.59718794,7998,-1.4512131,0.071851365,30.924272042554488,258.63179540634155,0.01968,0.7738399,0.06353,117,117,0.04371342456641667,-0.010862045,1.8710997,0.028936213
0.7635297,58.81699346405229,1,-48.89,0.6510747,-58.13725490196079,0.0,0.73,-2.5231175,-2.844155,0.5986431,8998,-1.564235,0.07858694,30.41797554464669,295.8119282722473,0.01964,0.79397535,0.14551,153,153,0.03468132057578463,0.031724613,1.9353191,0.028636558
0.9091941,51.25773195876289,1,-33.6,0.7484712,-50.53092783505155,0.0,0.82,-2.6670635,-3.043849,0.6057873,9998,-1.6568471,0.08921321,29.91473075350726,334.2166132926941,0.0196,0.8114717,0.07904,194,194,0.02465919189213231,-0.013304482,1.9647902,0.035355538
1.0424435,49.5045045045045,1,-26.92,0.8583938,-48.770270270270274,0.0,0.86,-2.6510715,-3.1021469,0.6106316,10998,-1.7814422,0.09369173,29.67146437065747,370.6591579914093,0.01957,0.8318249,0.04323,222,222,0.024267388125115377,0.042892605,2.015337,0.046771344
1.1686081,37.03405572755418,1,-8.59,0.9767954,-36.22291021671827,0.0,0.98,-2.7232337,-3.2126272,0.62143314,11998,-1.8599893,0.099026375,29.187394800850985,411.06786274909973,0.01953,0.8497413,0.08053,323,323,0.015604353361043734,0.011223366,2.0584931,0.048830766
1.3090093,31.320481927710844,1,-9.85,1.1080493,-30.47469879518072,0.0,0.97,-2.7251203,-3.259663,0.63104653,12998,-1.9517708,0.10794974,28.767934887946346,451.82249093055725,0.01949,0.8554049,0.09174,415,415,0.01605130624748868,0.0870299,2.0867836,0.049364757
1.4658614,28.046558704453442,1,-8.6,1.2405013,-27.18016194331984,0.0,0.98,-2.8179064,-3.394579,0.63945866,13998,-2.0277467,0.1159453,28.358121048789087,493.61521434783936,0.01945,0.8623693,0.08824,494,494,0.015346414905020676,0.07998311,2.1256266,0.054018788
1.6108447,24.110932475884244,1,-6.69,1.3687079,-23.218649517684888,0.0,1.0,-2.8043199,-3.407155,0.647733,14998,-2.079129,0.12137961,27.98992873262794,535.835590839386,0.01941,0.868549,0.14455,622,622,0.014053844241517904,0.048313733,2.1431408,0.052223783
1.7110766,20.72538860103627,1,-4.69,1.4694401,-19.81217616580311,0.0,1.0,-2.8868628,-3.5065784,0.6551252,15998,-2.1122332,0.11584774,27.635631808982232,578.8903293609619,0.01937,0.8729484,0.00938,772,772,0.014376972400269708,0.0693225,2.1132708,0.047346532
1.8593167,18.84257206208426,1,-7.29,1.6334311,-17.917960088691796,0.0,0.99,-2.8025055,-3.4367566,0.66140854,16998,-2.1525946,0.1238424,27.241280100106206,623.979487657547,0.01933,0.8772782,0.0945,902,902,0.014039038379755522,0.047734007,2.0923529,0.043940574
1.9264789,17.45101842870999,1,-7.09,1.7270387,-16.517943743937924,0.0,0.99,-2.78889,-3.4380386,0.66866714,17998,-2.2161055,0.13539377,26.930610903407427,668.3101272583008,0.01929,0.872172,0.07557,1031,1031,0.01587662682103933,0.043172985,2.0728126,0.03997678
1.9960582,15.854026845637584,1,-4.8,1.8156552,-14.911912751677852,0.0,1.0,-2.7825227,-3.4536185,0.6752616,18998,-2.2572198,0.118478954,26.649599173054213,712.881266117096,0.01926,0.8811181,0.18543,1192,1192,0.013784511722050436,0.02091164,2.0020025,0.03863038
2.0789158,15.19452887537994,1,-7.47,1.9136132,-14.248480243161094,0.0,0.99,-2.788053,-3.4663439,0.68171775,19998,-2.3223872,0.12502334,26.445180583464463,756.2058401107788,0.01922,0.87005085,0.1091,1316,1316,0.01478201889352913,0.08262606,1.9394112,0.03752402
2.158582,14.127187079407806,1,-4.57,2.0072742,-13.174966352624494,0.0,1.0,-2.7666078,-3.4456892,0.68692875,20998,-2.3396318,0.13136666,26.211399998979008,801.1018106937408,0.01918,0.8703832,0.02562,1486,1486,0.01343538037858063,0.062671594,1.9566684,0.03440736
