train/loss_actor,total/steps,success rate,total/steps_per_second,train/loss_critic,rollout/actions_std,errors,rollout/error,reference_action_mean,rollout/return,total/duration,rollout/actions_mean,reference_Q_mean,total/epochs,rollout/return_history,rollout/Q_mean,total/episodes,rollout/goal_tolerance,rollout/episodes,reference_Q_std,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,reference_action_std,reference_actor_Q_std
0.58283883,998,0.6428571428571429,33.511181220402776,0.14442228,0.66061527,0.05796923361820856,0.06388,-0.01985089,-63.142857142857146,29.781104803085327,-0.18857111,-0.6303242,1,-63.142857142857146,-0.53406256,14,0.01996,14,0.32755587,0.0,63.785714285714285,-0.5440127,0.81834847,0.3294452
0.6519606,1998,0.52,31.674340306719177,0.10080586,0.7597672,0.05265486606740814,0.14354,0.650454,-78.44,63.07945108413696,0.0027907765,-0.77821124,1,-78.44,-0.57720447,25,0.01992,25,0.42118463,0.0,78.96,-0.66776764,0.7494118,0.39195976
0.98891014,2998,0.47058823529411764,30.576752546917533,0.059531298,0.7881587,0.05942301137788926,0.12787,0.6197619,-84.29411764705883,98.0483455657959,0.15244162,-0.88353264,1,-84.29411764705883,-0.78840005,34,0.01988,34,0.5442941,0.0,84.76470588235294,-0.80610836,0.7703284,0.5436202
1.2300785,3998,0.45652173913043476,30.142170016383478,0.051295593,0.79317635,0.06724390932227907,0.04947,0.59862566,-85.43478260869566,132.63809466362,0.22360994,-1.0057112,1,-85.43478260869566,-0.9674766,46,0.01984,46,0.6860776,0.0,85.8913043478261,-0.8848439,0.7787161,0.7314728
1.4516164,4998,0.42592592592592593,29.886421648426513,0.049166802,0.7904758,0.06694192086917224,0.07,0.4209306,-89.44444444444444,167.23313546180725,0.25132942,-1.0897655,1,-89.44444444444444,-1.1268511,54,0.0198,54,0.8311305,0.0,89.87037037037037,-0.88934374,0.8103293,0.85284775
1.565126,5998,0.4492753623188406,29.705362444574337,0.048437923,0.7858671,0.06196027231191971,0.01199,0.21133113,-86.5072463768116,201.91640520095825,0.2373925,-1.2424252,1,-86.5072463768116,-1.2036105,69,0.01976,69,1.0080392,0.0,86.95652173913044,-1.0136228,0.83396226,1.0288194
1.749892,6998,0.4634146341463415,29.596230358637523,0.055195536,0.77667433,0.06039723552913376,0.19816,0.25951728,-84.01219512195122,236.44903135299683,0.21695194,-1.3410796,1,-84.01219512195122,-1.3457975,82,0.01972,82,1.1398672,0.0,84.47560975609755,-1.119396,0.8133359,1.147627
1.8505462,7998,0.47368421052631576,29.28435059440372,0.059702277,0.77103543,0.05956239144235203,0.07268,0.07235021,-82.37894736842105,273.1151566505432,0.19009623,-1.48511,1,-82.37894736842105,-1.4742237,95,0.01968,95,1.3157843,0.0,82.85263157894737,-1.2467837,0.8732239,1.2776451
1.9033995,8998,0.57,29.017675266808013,0.06691842,0.7732846,0.050505265500494195,0.04063,0.008811057,-71.90322580645162,310.08686661720276,0.16117361,-1.590987,1,-69.55,-1.5890231,124,0.01964,124,1.450375,0.0,72.45967741935483,-1.2919738,0.8730492,1.4391284
1.9595633,9998,0.92,28.55241104020332,0.083977565,0.7683997,0.018965814995309138,0.0268,0.019281497,-51.6282722513089,350.1630733013153,0.1417752,-1.6361953,1,-22.01,-1.6550192,191,0.0196,191,1.557363,0.0,52.32984293193717,-1.3171434,0.85399073,1.5550194
1.934092,10998,1.0,28.193769643336886,0.08252461,0.76652354,0.014937010830432489,0.02986,0.035681304,-36.595238095238095,390.08618354797363,0.1274544,-1.7113032,1,-7.38,-1.6909876,294,0.01957,294,1.693347,0.0,37.39795918367347,-1.3559717,0.840323,1.7140206
1.9320023,11998,0.99,27.784053248187394,0.095864974,0.76594406,0.014444625847852062,0.01495,0.038119968,-32.684357541899445,431.8304421901703,0.11598379,-1.758217,1,-11.41,-1.7835755,358,0.01953,358,1.8001565,0.0,33.5195530726257,-1.3807302,0.8380134,1.79992
1.9363617,12998,1.0,27.338243362215536,0.10342187,0.76682234,0.014283310079851503,0.19164,0.07532968,-26.961456102783725,475.4511775970459,0.11130321,-1.7565563,1,-8.03,-1.8592612,467,0.01949,467,1.9190779,0.0,27.83511777301927,-1.3448225,0.8441325,1.9070215
1.9323925,13998,0.99,26.918984355595175,0.120258845,0.76723295,0.015053085825598283,0.04024,0.025731102,-23.436521739130434,520.0047600269318,0.10538382,-1.7290003,1,-8.34,-1.9080443,575,0.01945,575,2.0221653,0.0,24.33217391304348,-1.3117354,0.86024946,2.011606
1.9402399,14998,1.0,26.504722829505884,0.111308664,0.7681785,0.013692281944873099,0.0148,0.046272207,-20.483594864479315,565.8614163398743,0.102925524,-1.8453097,1,-6.32,-1.9701929,701,0.01941,701,2.1383255,0.0,21.398002853067048,-1.3774158,0.86854386,2.12362
1.9040952,15998,1.0,26.20122993285787,0.11809455,0.77053696,0.01398655509706701,0.02597,0.069753624,-17.798594847775174,610.582023859024,0.09641921,-1.8187227,1,-5.81,-2.0187829,854,0.01937,854,2.2216668,0.0,18.728337236533957,-1.3407872,0.87113297,2.2111328
1.8810922,16998,1.0,25.917645333814956,0.12589249,0.77272403,0.013867582990174961,0.03031,0.044821218,-16.33028455284553,655.8466165065765,0.08996697,-1.761848,1,-5.37,-2.0690868,984,0.01933,984,2.3207638,0.0,17.26829268292683,-1.2718225,0.8741725,2.3104072
1.8227217,17998,1.0,25.63476129803026,0.13055472,0.77376187,0.013683080580103937,0.04089,0.048800047,-15.02841918294849,702.0935280323029,0.08784137,-1.791934,1,-5.67,-2.1240222,1126,0.01929,1126,2.4190598,0.0,15.97424511545293,-1.2768164,0.87769973,2.3886068
1.798747,18998,0.99,25.335831563970356,0.12590249,0.77466,0.013334206945034986,0.07736,0.024441613,-14.151828298887123,749.8471069335938,0.083559565,-1.7415481,1,-7.1,-2.1779778,1258,0.01926,1258,2.4978206,0.0,15.102543720190779,-1.205201,0.8869238,2.4669864
1.7766527,19998,1.0,25.113497725606443,0.12499224,0.775471,0.013595903790093324,0.08418,0.11606809,-13.306704707560627,796.3048484325409,0.08051135,-1.7188492,1,-6.12,-2.2229435,1402,0.01922,1402,2.5758767,0.0,14.262482168330957,-1.1989182,0.8754337,2.5496945
1.7033588,20998,1.0,24.913438953641528,0.12419997,0.77665055,0.014285901850501945,0.02575,0.065547176,-12.470889315419067,842.8382785320282,0.076308325,-1.7770164,1,-4.89,-2.2629597,1563,0.01918,1563,2.6520202,0.0,13.431222008957134,-1.2272534,0.87944144,2.6133065
1.6896622,21998,1.0,24.747909935199427,0.123308964,0.7774054,0.013530176858144081,0.00621,0.10411417,-11.97764705882353,888.8831443786621,0.07342634,-1.7130919,1,-6.26,-2.3060353,1700,0.01914,1700,2.7412667,0.0,12.941176470588236,-1.1556265,0.8804677,2.7046258
1.6465096,22998,1.0,24.615409972564898,0.12212192,0.77859527,0.013297718338631977,0.06862,0.092030205,-11.356913183279742,934.2927875518799,0.071711175,-1.7387244,1,-5.06,-2.3322191,1866,0.0191,1866,2.8050134,0.0,12.32368703108253,-1.1978693,0.88161284,2.776521
1.655343,23998,1.0,24.47853851748771,0.11350258,0.77946055,0.01359332364882171,0.01214,0.08152724,-10.841535433070867,980.3689866065979,0.06972856,-1.6912283,1,-5.48,-2.34643,2032,0.01906,2032,2.8444762,0.0,11.811023622047244,-1.1414437,0.87796813,2.796168
1.5671599,24998,1.0,24.35334959660316,0.11377623,0.78066504,0.013087861830301478,0.17349,0.061215404,-10.419781221513217,1026.4707078933716,0.065282084,-1.713609,1,-5.0,-2.3663776,2194,0.01903,2194,2.92602,0.0,11.391522333637193,-1.1554599,0.88093174,2.883142
1.5353706,25998,1.0,24.227642775406608,0.12217155,0.781044,0.013537381104992774,0.01684,0.05065495,-10.099659284497445,1073.0717899799347,0.06541183,-1.6643656,1,-5.11,-2.3948157,2348,0.01899,2348,2.9924166,0.0,11.073253833049403,-1.1274145,0.87573713,2.948144
1.4940598,26998,1.0,24.126499976333353,0.10964992,0.78191733,0.013638870737227993,0.14772,0.07244261,-9.837404885863036,1119.01850771904,0.06336414,-1.650412,1,-6.11,-2.4201608,2497,0.01895,2497,3.0204408,0.0,10.81257509010813,-1.1145747,0.8702383,2.9751334
1.4482564,27998,1.0,24.034148354709938,0.10231989,0.78249526,0.01263894613109491,0.0043,0.08450216,-9.593431483578708,1164.9258208274841,0.061742805,-1.6159194,1,-4.93,-2.4445312,2649,0.01891,2649,3.0895393,0.0,10.570026425066063,-1.0674356,0.8748591,3.0285497
1.4047904,28998,1.0,23.953172960413156,0.094487876,0.78301066,0.012775215888139999,0.17403,-0.009242724,-9.375223134594787,1210.6120574474335,0.05734472,-1.6342301,1,-5.68,-2.458875,2801,0.01887,2801,3.1337545,0.0,10.35308818279186,-1.097739,0.8696581,3.0716186
1.3816004,29998,1.0,23.856725822985492,0.104504995,0.7837187,0.01334603939059408,0.17403,0.06079338,-9.182926829268293,1257.4231779575348,0.055856217,-1.6281159,1,-5.4,-2.4795375,2952,0.01884,2952,3.1437957,0.0,10.161924119241192,-1.0699172,0.87651,3.0572233
1.4091715,30998,1.0,23.787477317336563,0.11086144,0.78441757,0.0127696578275142,0.01844,0.0013074974,-8.968549422336329,1303.1226298809052,0.053576566,-1.6117809,1,-4.79,-2.5015907,3116,0.0188,3116,3.1657023,0.0,9.948652118100128,-1.0487157,0.87578195,3.08458
1.3193786,31998,1.0,23.698118139914925,0.100982994,0.78498334,0.013803974256099256,0.06312,0.021066295,-8.771106370009143,1350.2337954044342,0.050583098,-1.5816178,1,-5.1,-2.5102735,3281,0.01876,3281,3.1987758,0.0,9.752209692167023,-1.0318162,0.873477,3.1267736
1.2919211,32998,1.0,23.6203347218945,0.09077801,0.7854247,0.012639700419601291,0.01763,-0.006991686,-8.689917936694021,1397.0166125297546,0.04714956,-1.5906153,1,-6.26,-2.536234,3412,0.01872,3412,3.2295074,0.0,9.671746776084408,-1.050822,0.8705664,3.159775
1.2900124,33998,1.0,23.539261409125533,0.1009725,0.78588027,0.013364244082333152,0.10096,0.006064164,-8.599492671927846,1444.310397386551,0.04375094,-1.5747274,1,-5.8,-2.5523057,3548,0.01869,3548,3.2698886,0.0,9.582018038331455,-1.0410777,0.8745033,3.1950936
1.2793078,34998,1.0,23.47615184551734,0.09749935,0.7858702,0.012637284901345492,0.00624,0.0011444837,-8.453221892693449,1490.7894713878632,0.043156195,-1.5278602,1,-5.7,-2.5623794,3709,0.01865,3709,3.2825842,0.0,9.436505796710703,-0.99571294,0.871752,3.2053545
1.2441733,35998,1.0,23.401704816092906,0.08232565,0.7858955,0.012528141274926928,0.0214,0.031605024,-8.310870126516912,1538.263997554779,0.044260945,-1.5623053,1,-5.75,-2.5687199,3873,0.01861,3873,3.3092241,0.0,9.294861864187968,-1.0258434,0.86172295,3.2186418
1.1850034,36998,1.0,23.31934435161954,0.09897744,0.7861372,0.012973786286297364,0.11493,0.01749359,-8.17983651226158,1586.5797700881958,0.04220893,-1.5132682,1,-4.66,-2.5703623,4037,0.01858,4037,3.328002,0.0,9.164478573197918,-0.97368246,0.86703336,3.257355
