reference_actor_Q_std,total/epochs,train/loss_critic,rollout/Q_mean,reference_Q_mean,reference_action_std,reference_Q_std,success rate,rollout/goal_tolerance,total/episodes,reference_actor_Q_mean,total/steps_per_second,errors,total/steps,rollout/return_history,rollout/actions_mean,rollout/return,rollout/episode_steps,train/loss_actor,total/duration,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_action_mean,rollout/error
0.26430464,1,0.114281796,-0.6358463,-0.8856405,0.63304645,0.21718512,0.2857142857142857,0.01996,7,-0.7841745,32.55550185180464,0.09488954834626287,998,-124.71428571428571,0.020718029,-124.71428571428571,125.0,0.78098655,30.655340671539307,0.5008518,7,0.0,0.0155746,0.08495
0.31305763,1,0.093582496,-0.85494447,-1.0643432,0.6521587,0.32862413,0.25,0.01992,16,-0.9528909,31.60680677232709,0.104289806589164,1998,-122.125,0.015817536,-122.125,122.375,0.88280714,63.21423149108887,0.57217073,16,0.0,0.050536383,0.21951
0.4834802,1,0.060365833,-1.0024272,-1.2607614,0.6652693,0.43675444,0.18181818181818182,0.01988,22,-1.1123486,31.611863303231672,0.11514031937873083,2998,-129.72727272727272,-0.047211114,-129.72727272727272,129.9090909090909,0.98845017,94.83781361579895,0.60915124,22,0.0,-0.094219685,0.16991
0.6289141,1,0.060639907,-1.158536,-1.4749842,0.69567335,0.5579331,0.13793103448275862,0.01984,29,-1.3151697,31.745339096756542,0.12897854003715928,3998,-134.6206896551724,-0.030041693,-134.6206896551724,134.75862068965517,1.1064126,125.93974781036377,0.6482799,29,0.0,-0.08088566,0.17136
0.75858337,1,0.06612276,-1.3252014,-1.6607637,0.7409352,0.6743021,0.1111111111111111,0.0198,36,-1.4786732,31.65256416142759,0.134244629167927,4998,-137.61111111111111,0.0015953166,-137.61111111111111,137.72222222222223,1.3206291,157.90189933776855,0.6676652,36,0.0,-0.09210811,0.19427
0.8946447,1,0.068340644,-1.4789772,-1.8732495,0.7724492,0.82849467,0.09523809523809523,0.01976,42,-1.6528876,31.687844624695398,0.13837397262650236,5998,-139.38095238095238,-0.005813044,-139.38095238095238,139.47619047619048,1.4627926,189.28393745422363,0.68054163,42,0.0,-0.06668488,0.09712
1.0323844,1,0.082170695,-1.6156789,-2.0868838,0.76664954,0.9557465,0.1,0.01972,50,-1.8373992,31.476274985146464,0.13600964717268108,6998,-138.18,-0.02357816,-138.18,138.28,1.545932,222.32618069648743,0.6893803,50,0.0,-0.13526525,0.21668
1.1953489,1,0.10367035,-1.7467835,-2.2591317,0.77375734,1.1054075,0.16393442622950818,0.01968,61,-1.9519647,31.364644944684464,0.12699537568734545,7998,-129.80327868852459,-0.03612827,-129.80327868852459,129.9672131147541,1.6395684,255.00049543380737,0.6905844,61,0.0,-0.21200985,0.16917
1.3032975,1,0.11937391,-1.8544649,-2.4757824,0.778772,1.2099774,0.2191780821917808,0.01964,73,-2.1018453,31.280288450406253,0.11696615682184905,8998,-122.1917808219178,-0.04278027,-122.1917808219178,122.41095890410959,1.740747,287.65719389915466,0.69281024,73,0.0,-0.19205625,0.09149
1.4874748,1,0.1252338,-1.897639,-2.587923,0.78888315,1.383385,0.29545454545454547,0.0196,88,-2.1629915,31.0925753258673,0.10257022008730841,9998,-113.02272727272727,-0.033136133,-113.02272727272727,113.31818181818181,1.8555007,321.55586647987366,0.68612164,88,0.0,-0.1252366,0.04314
1.5835278,1,0.14695723,-1.9818683,-2.6488242,0.79529023,1.4868011,0.4,0.01957,107,-2.1756656,30.98352339714982,0.08838866801519712,10998,-100.56,-0.018053558,-102.14018691588785,102.53271028037383,1.9313431,354.9628574848175,0.6865212,107,0.0,-0.14873429,0.22177
1.765496,1,0.15494703,-2.0699162,-2.733593,0.81326854,1.66566,0.54,0.01953,126,-2.1992106,30.81709932533295,0.06747940930160244,11998,-84.47,-0.0030361973,-94.45238095238095,94.91269841269842,2.0233035,389.329309463501,0.68627375,126,0.0,-0.1748871,0.04381
1.8636976,1,0.1783453,-2.1390572,-2.7654295,0.8283885,1.7872868,0.8,0.01949,157,-2.2098446,30.602911619289195,0.028427094211255003,12998,-52.13,0.004221481,-82.17834394904459,82.73248407643312,2.0564353,424.7308282852173,0.68844724,157,0.0,-0.14512031,0.02773
1.9709073,1,0.18507637,-2.218468,-2.8299146,0.83696735,1.9029659,0.86,0.01945,178,-2.2334023,30.40044995750032,0.022151359922423612,13998,-46.03,0.009624266,-77.87640449438203,78.46629213483146,2.094052,460.45371103286743,0.690333,178,0.0,-0.17496715,0.05094
2.1581097,1,0.18759401,-2.2564301,-2.8276775,0.84902996,2.0715983,0.89,0.01941,205,-2.1876926,30.27726611359488,0.02040290342330588,14998,-39.47,0.013573083,-72.43414634146342,73.06341463414634,2.032085,495.35515999794006,0.691114,205,0.0,-0.1380769,0.02107
2.23532,1,0.19474916,-2.3149304,-2.7133634,0.85510886,2.1835778,0.9,0.01937,232,-2.0746725,30.125467526826927,0.020477890641295803,15998,-35.76,0.01397951,-67.75,68.40948275862068,2.029654,531.0457003116608,0.69231004,232,0.0,-0.13403042,0.03993
2.3251362,1,0.20230904,-2.3643165,-2.7187786,0.86535233,2.26035,0.87,0.01933,260,-2.062383,30.00677001544276,0.022090128794339012,16998,-38.82,0.016195446,-64.67692307692307,65.3576923076923,1.99409,566.4721658229828,0.69419473,260,0.0,-0.09333116,0.19691
2.4384859,1,0.21212113,-2.4124706,-2.62356,0.8666258,2.3725243,0.91,0.01929,303,-1.9403973,29.852574319403214,0.019463552370205688,17998,-29.31,0.017904457,-58.64356435643565,59.363036303630366,1.9355654,602.896078824997,0.6941369,303,0.0,-0.12500398,0.05457
2.509711,1,0.21576887,-2.4806457,-2.5871768,0.8667816,2.4524653,0.96,0.01926,350,-1.871776,29.696365381522153,0.01608757924798532,18998,-22.76,0.019631635,-53.40571428571429,54.16,1.9650526,639.7415897846222,0.6981379,350,0.0,-0.075558655,0.04396
2.6027467,1,0.2138183,-2.5001462,-2.5551567,0.8702087,2.5386343,0.94,0.01922,379,-1.8247327,29.564428591546793,0.016896713908726112,19998,-23.94,0.02449281,-51.9023746701847,52.66490765171504,1.9139699,676.4209880828857,0.69892216,379,0.0,-0.1222266,0.03499
2.6424496,1,0.22330368,-2.520923,-2.491168,0.8677725,2.6071715,0.92,0.01918,421,-1.7746532,29.439806217232125,0.016766064149945664,20998,-25.07,0.025218694,-49.090261282660336,49.86935866983373,1.8983667,713.2519774436951,0.6993998,421,0.0,-0.15054463,0.03749
2.7274632,1,0.2267013,-2.5639527,-2.388451,0.8620289,2.69789,0.96,0.01914,478,-1.6742585,29.300358860209375,0.015389270619813147,21998,-19.56,0.025876084,-45.2071129707113,46.01046025104603,1.8698938,750.7757875919342,0.7025249,478,0.0,-0.12174934,0.06213
2.7572124,1,0.2192468,-2.6017554,-2.3416972,0.85897136,2.7423463,1.0,0.0191,540,-1.6229783,29.19055961273653,0.014352882896724888,22998,-14.67,0.028996157,-41.67037037037037,42.49629629629629,1.8509296,787.8574547767639,0.705269,540,0.0,-0.10242053,0.03923
2.853671,1,0.22728789,-2.6152654,-2.3104086,0.8645691,2.8300238,0.97,0.01906,586,-1.5833342,29.09399906094295,0.014111096530774987,23998,-17.22,0.03283153,-40.075085324232084,40.90955631399317,1.7878504,824.8436369895935,0.7069013,586,0.0,-0.119882025,0.04076
2.9125848,1,0.22427027,-2.653639,-2.249879,0.8579448,2.8938067,0.95,0.01903,628,-1.5456527,29.00609814878898,0.015461858656768919,24998,-21.01,0.035337046,-38.95859872611465,39.80095541401274,1.7695812,861.8187758922577,0.7090597,628,0.0,-0.089187436,0.04802
2.9703047,1,0.22512747,-2.6773548,-2.1582084,0.8680159,2.935517,0.97,0.01899,702,-1.4470711,28.89269056957148,0.015619917644979102,25998,-14.95,0.033512287,-36.16381766381766,37.02136752136752,1.7049288,899.8123569488525,0.7120221,702,0.0,-0.07908518,0.027
3.0032394,1,0.24230751,-2.7195976,-2.1639786,0.8639514,2.9886544,0.98,0.01895,744,-1.4652493,28.77127080907528,0.0151742563526033,26998,-15.66,0.034221202,-35.41129032258065,36.274193548387096,1.7301476,938.3666150569916,0.71418595,744,0.0,-0.11635079,0.04952
3.1036043,1,0.23723784,-2.736254,-2.13233,0.86822724,3.0534992,0.98,0.01891,814,-1.4196107,28.66439749619114,0.016177706239448968,27998,-15.37,0.03479241,-33.52088452088452,34.394348894348894,1.5924804,976.7517354488373,0.7164913,814,0.0,-0.1116574,0.14425
3.1255426,1,0.23022726,-2.764585,-2.1175306,0.8708114,3.083463,0.97,0.01887,874,-1.41198,28.567829939316688,0.015574971931661163,28998,-15.34,0.034987785,-32.296338672768876,33.17620137299771,1.620667,1015.0578486919403,0.71964824,874,0.0,-0.07397701,0.12116
3.181954,1,0.24474853,-2.7861736,-2.0325408,0.87946093,3.1313832,0.97,0.01884,941,-1.3378544,28.484584352320855,0.014530386064278897,29998,-14.92,0.03837583,-30.895855472901168,31.783209351753452,1.5838037,1053.1310420036316,0.72218025,941,0.0,-0.0697887,0.07804
3.2289636,1,0.22837749,-2.8118725,-1.9891406,0.8829597,3.1932237,0.97,0.0188,1005,-1.2839953,28.403156048435907,0.01496387768726478,30998,-15.45,0.03927503,-29.932338308457712,30.82487562189055,1.609374,1091.357592344284,0.7250395,1005,0.0,-0.026784545,0.02454
3.3147907,1,0.22563824,-2.825423,-1.9988304,0.8764661,3.2776575,0.99,0.01876,1081,-1.3073162,28.29736663901132,0.013702015675575396,31998,-11.3,0.0373316,-28.678075855689176,29.577243293246994,1.543018,1130.7765986919403,0.7270444,1081,0.0,-0.09158478,0.04419
