rollout/actions_std,total/episodes,reference_action_mean,rollout/episode_steps,rollout/return,rollout/return_history,reference_action_std,total/steps,total/epochs,errors,total/duration,success rate,rollout/Q_mean,reference_Q_std,train/loss_critic,reference_actor_Q_mean,rollout/episodes,reference_actor_Q_std,rollout/error,rollout/goal_tolerance,reference_Q_mean,total/steps_per_second,train/param_noise_distance,train/loss_actor,rollout/actions_mean
0.5272199,6,0.053881843,150.0,-150.0,-150.0,0.66299236,998,1,0.08458126814124028,33.61554169654846,0.0,-0.554153,0.19781607,0.14956836,-0.67075837,6,0.21756878,0.08779,0.01996,-0.8063332,29.688648453416757,0.0,0.6704259,-0.06304596
0.55390644,13,-0.008315126,149.92307692307693,-149.84615384615384,-149.84615384615384,0.66793317,1998,1,0.09020282343484005,67.17699599266052,0.07692307692307693,-0.70512694,0.2818516,0.10706645,-0.77978075,13,0.2863571,0.1331,0.01992,-0.9416983,29.74232429533308,0.0,0.75585467,-0.011209497
0.592641,20,0.117667325,149.95,-149.9,-149.9,0.69746673,2998,1,0.10284080124136427,101.53250336647034,0.05,-0.871146,0.37360567,0.06748098,-0.88894117,20,0.4154922,0.08374,0.01988,-1.1301446,29.52749021836929,0.0,0.83569956,0.030061843
0.6414414,28,0.17966622,141.60714285714286,-141.5,-141.5,0.76591766,3998,1,0.10793794010433141,135.23047399520874,0.10714285714285714,-1.0293173,0.42578378,0.06416341,-1.0418398,28,0.5248171,0.13741,0.01984,-1.3372064,29.564342132984393,0.0,1.0096197,0.049981788
0.66379535,36,0.091988124,135.33333333333334,-135.19444444444446,-135.19444444444446,0.71606165,4998,1,0.10315648019577868,168.9165518283844,0.1388888888888889,-1.1704761,0.5625769,0.06181133,-1.2236131,36,0.6153519,0.10193,0.0198,-1.5040716,29.588574629902823,0.0,1.1096135,0.042941306
0.66639334,46,0.060830798,129.2608695652174,-129.04347826086956,-129.04347826086956,0.7196134,5998,1,0.09192596357089682,203.30644392967224,0.21739130434782608,-1.3056204,0.68256104,0.069470435,-1.3747032,46,0.7366742,0.07374,0.01976,-1.6776271,29.502262122467833,0.0,1.1754917,0.014003628
0.66304046,54,0.1361254,127.31481481481481,-127.0925925925926,-127.0925925925926,0.7326468,6998,1,0.0877785094641807,238.52397632598877,0.2222222222222222,-1.4449555,0.8604033,0.082260676,-1.4427872,54,0.88871956,0.09194,0.01972,-1.8020422,29.3387696607736,0.0,1.2722591,0.008281536
0.6632898,66,0.06978223,119.21212121212122,-118.92424242424242,-118.92424242424242,0.76356936,7998,1,0.0788894236097597,273.76789593696594,0.2878787878787879,-1.5337671,0.9796661,0.09567408,-1.5245354,66,1.0180792,0.16055,0.01968,-1.9538226,29.21452850644515,0.0,1.3196611,-0.0032644882
0.6639442,82,0.024344116,108.58536585365853,-108.21951219512195,-108.21951219512195,0.77879834,8998,1,0.07003325426238338,309.38453817367554,0.36585365853658536,-1.6011133,1.1046337,0.112212956,-1.5781689,82,1.1337385,0.11816,0.01964,-2.0406783,29.083547785277165,0.0,1.3730216,-0.009134188
0.66664666,100,0.012056316,98.83,-98.38,-98.38,0.7956819,9998,1,0.06288559119989187,345.4249806404114,0.45,-1.6989715,1.1990044,0.12890083,-1.6818434,100,1.2048061,0.03103,0.0196,-2.1755898,28.944056047897572,0.0,1.409358,-0.01069684
0.6734046,123,0.022837078,89.03252032520325,-88.4959349593496,-74.37,0.79946434,10998,1,0.04054231580452349,382.5700190067291,0.65,-1.7972026,1.3334697,0.14702788,-1.6765121,123,1.3475983,0.11156,0.01957,-2.2267456,28.747678734873766,0.0,1.4804248,-0.008912712
0.67762774,152,0.060803536,78.28947368421052,-77.6842105263158,-51.08,0.79434156,11998,1,0.02733315416223649,419.95588660240173,0.81,-1.886389,1.4209367,0.15372892,-1.6854182,152,1.4380586,0.03539,0.01953,-2.2749968,28.569667393088004,0.0,1.5388194,-0.004293337
0.6822834,195,0.05994999,66.62564102564103,-65.95384615384616,-33.29,0.8017704,12998,1,0.02096594135986842,457.81920862197876,0.9,-1.9736208,1.5201925,0.15933312,-1.6544273,195,1.5305973,0.02734,0.01949,-2.3068972,28.391119802778842,0.0,1.5437677,-0.004799077
0.68802065,226,0.029067183,61.72566371681416,-61.02212389380531,-25.85,0.80680484,13998,1,0.019123723270124217,495.63244247436523,0.92,-2.073335,1.6636003,0.15996033,-1.5262433,226,1.6446648,0.0788,0.01945,-2.1969578,28.24270326235554,0.0,1.5905766,0.005272043
0.6929403,257,0.16941333,58.07782101167315,-57.34630350194553,-27.35,0.78613794,14998,1,0.019253338484671506,533.6417243480682,0.92,-2.1494925,1.7293048,0.17284939,-1.6094396,257,1.7019999,0.09318,0.01941,-2.2670004,28.10499875796358,0.0,1.605157,0.0065194913
0.697981,287,0.13702379,55.724738675958186,-54.98257839721254,-31.3,0.7882753,15998,1,0.021327297819298808,572.6130509376526,0.89,-2.2370446,1.8169308,0.17599183,-1.5361187,287,1.7845216,0.09078,0.01937,-2.2104664,27.938587801663463,0.0,1.6348759,0.0091666365
0.70092094,345,0.12953265,49.23768115942029,-48.457971014492756,-21.9,0.786456,16998,1,0.018603396472377354,611.2863121032715,0.93,-2.2676926,1.8987596,0.18317284,-1.5057454,345,1.8791282,0.08234,0.01933,-2.220243,27.806937049701737,0.0,1.544674,0.00803607
0.7038853,404,0.14782993,44.539603960396036,-43.73019801980198,-17.53,0.7886207,17998,1,0.015324021763901609,650.5091044902802,0.97,-2.3255029,1.9714942,0.1864077,-1.4221158,404,1.934204,0.0705,0.01929,-2.1647525,27.667560493411855,0.0,1.5865992,0.009442004
0.7057564,442,0.14157899,42.86877828054298,-42.04977375565611,-19.21,0.80232483,18998,1,0.01540905645978319,690.1013069152832,0.96,-2.37137,2.0470371,0.18659571,-1.3116876,442,1.9963349,0.09885,0.01926,-2.1056707,27.52929143826733,0.0,1.5611283,0.012970431
0.7092128,480,0.18782495,41.65625,-40.829166666666666,-22.9,0.79502285,19998,1,0.017339251055251616,729.7583653926849,0.94,-2.4542522,2.10005,0.18783282,-1.2141187,480,2.0267255,0.18277,0.01922,-1.9986942,27.403591309623458,0.0,1.5394015,0.01600731
0.7132141,543,0.11728123,38.661141804788215,-37.81767955801105,-17.99,0.8042949,20998,1,0.016361422237172008,769.6282804012299,0.96,-2.512838,2.13771,0.1909474,-1.2448138,543,2.0548491,0.09981,0.01918,-2.0226555,27.283300958032786,0.0,1.544602,0.014958325
0.7161336,619,0.13751842,35.36672051696284,-34.50565428109854,-13.2,0.800262,21998,1,0.01481734647342548,810.5410711765289,0.97,-2.562284,2.1712582,0.19188744,-1.1786349,619,2.098381,0.07328,0.01914,-1.9567349,27.139895536779065,0.0,1.5871468,0.016310792
0.71789265,664,0.11167166,34.63253012048193,-33.76807228915663,-15.61,0.8046133,22998,1,0.01719401512662642,850.4542050361633,0.96,-2.582467,2.2486575,0.20628951,-1.0586095,664,2.140215,0.0996,0.0191,-1.8528173,27.042020444854018,0.0,1.5483006,0.016707048
0.720932,744,0.10165288,32.236559139784944,-31.357526881720432,-11.05,0.8099109,23998,1,0.013816291739468422,890.80797290802,1.0,-2.6151311,2.2608652,0.19463369,-0.9490279,744,2.1369133,0.10833,0.01906,-1.7766652,26.939588250045784,0.0,1.5175219,0.014005047
0.7226491,804,0.14167328,31.092039800995025,-30.20646766169154,-13.6,0.80718017,24998,1,0.013487936096774828,931.0703210830688,0.98,-2.653924,2.2832346,0.20487763,-0.8884252,804,2.1475527,0.10022,0.01903,-1.7037877,26.84867021743432,0.0,1.5054388,0.01374262
0.72488815,876,0.15309331,29.668949771689498,-28.775114155251142,-11.97,0.8112873,25998,1,0.014520747381470753,972.351137638092,0.99,-2.703701,2.2798538,0.1946685,-0.9187271,876,2.1479023,0.06351,0.01899,-1.7214955,26.737254674428556,0.0,1.522479,0.01562013
0.7269093,951,0.10575052,28.382754994742378,-27.480546792849633,-11.86,0.8214049,26998,1,0.01426168457934016,1013.6181664466858,1.0,-2.7167897,2.3465936,0.21484737,-0.7351164,951,2.1929038,0.03796,0.01895,-1.5400712,26.635276372999023,0.0,1.4567376,0.011339398
0.7286805,1026,0.103227556,27.27095516569201,-26.36159844054581,-11.55,0.8189161,27998,1,0.013647151866700282,1054.5319993495941,1.0,-2.7206178,2.3394039,0.18887337,-0.7688376,1026,2.203852,0.03943,0.01891,-1.584038,26.550166346083746,0.0,1.4473867,0.008090509
0.73093796,1118,0.11386255,25.930232558139537,-25.013416815742396,-10.68,0.816859,28998,1,0.014482619286580335,1096.8805458545685,1.0,-2.7422693,2.3364077,0.1866906,-0.73644817,1118,2.2158358,0.06031,0.01887,-1.5043288,26.43678941120061,0.0,1.4655147,0.008504797
0.7324579,1198,0.089770734,25.031719532554256,-24.110183639398997,-11.04,0.8255469,29998,1,0.013801200216947888,1137.7706491947174,0.99,-2.7458494,2.3651574,0.1863493,-0.6802163,1198,2.2133403,0.0646,0.01884,-1.466338,26.365594877343472,0.0,1.432349,0.009530283
0.73405856,1266,0.15235406,24.481832543443918,-23.55687203791469,-14.01,0.81548125,30998,1,0.013813411854587423,1178.67813372612,0.98,-2.757383,2.3984082,0.1924006,-0.5382344,1266,2.2515802,0.15372,0.0188,-1.3285577,26.298952286496526,0.0,1.3879344,0.0106325215
0.7358751,1361,0.15155083,23.50330639235856,-22.573108008817048,-9.57,0.813465,31998,1,0.013506554895642887,1220.9740417003632,1.0,-2.7799115,2.3770096,0.19260052,-0.55282205,1361,2.241411,0.04823,0.01876,-1.3568983,26.20694536260466,0.0,1.3424333,0.009143131
0.73758924,1446,0.14626789,22.81466113416321,-21.880359612724757,-10.82,0.82159567,32998,1,0.012704495557319135,1262.0736248493195,1.0,-2.810766,2.395564,0.1883293,-0.49442443,1446,2.2564254,0.08574,0.01872,-1.2672616,26.145859758331984,0.0,1.2960472,0.00848596
0.738757,1524,0.10463204,22.257874015748033,-21.32020997375328,-10.99,0.81795704,33998,1,0.013498483832624612,1303.5460994243622,1.0,-2.819122,2.4209483,0.18264118,-0.49818012,1524,2.301361,0.04301,0.01869,-1.27514,26.081164306358865,0.0,1.3312649,0.00713657
0.739841,1598,0.13412876,21.899874843554443,-20.959949937421776,-12.48,0.8154966,34998,1,0.013838156285899,1345.2432894706726,0.99,-2.8269932,2.4336543,0.18274407,-0.35470128,1598,2.324603,0.07025,0.01865,-1.118167,26.016111935983744,0.0,1.3035555,0.0060276105
0.7408177,1678,0.13229539,21.447556615017877,-20.50476758045292,-10.79,0.8197934,35998,1,0.013096064189752963,1388.598799943924,1.0,-2.8580947,2.4362917,0.19913791,-0.3374716,1678,2.3028178,0.11354,0.01861,-1.1175697,25.92397458607462,0.0,1.3153385,0.00712513
0.7419775,1762,0.12508957,20.99659477866061,-20.051645856980702,-10.99,0.8240864,36998,1,0.013724277593753087,1430.918205022812,0.99,-2.8730335,2.4478776,0.19392563,-0.43477917,1762,2.3371537,0.04721,0.01858,-1.1973093,25.856125018278156,0.0,1.254369,0.008276225
0.7431603,1851,0.16868536,20.51755807671529,-19.569962182603998,-9.86,0.82070476,37998,1,0.013585887875945248,1473.1506459712982,1.0,-2.88924,2.4619465,0.18771017,-0.3545519,1851,2.3265407,0.07729,0.01854,-1.0757712,25.793696051327206,0.0,1.2394489,0.00949551
0.74409795,1929,0.10099429,20.211508553654742,-19.262312078797304,-11.42,0.83111626,38998,1,0.01371975009338089,1514.8218631744385,0.99,-2.898371,2.4649205,0.18694054,-0.29972586,1929,2.3558903,0.06518,0.0185,-1.0422094,25.744281191107422,0.0,1.2449566,0.008853715
0.7455731,2025,0.1713465,19.744691358024692,-18.793086419753088,-9.62,0.8216505,39998,1,0.012674682951197658,1556.9977872371674,1.0,-2.9099746,2.4601288,0.17789547,-0.3488279,2025,2.358514,0.0216,0.01846,-1.0991337,25.6891823019061,0.0,1.2095056,0.0073072487
0.7470556,2118,0.11687505,19.308781869688385,-18.35505193578848,-8.66,0.8245151,40998,1,0.013050169545771732,1598.8125185966492,1.0,-2.9347134,2.5016994,0.18703265,-0.23463152,2118,2.390087,0.04945,0.01843,-0.97187555,25.642781453816625,0.0,1.20682,0.008036467
0.74811727,2207,0.10912049,19.026733121884913,-18.07113729043951,-10.94,0.8262827,41998,1,0.013395874179825457,1641.1763372421265,1.0,-2.9577808,2.5203402,0.1875495,-0.23828654,2207,2.4044673,0.0195,0.01839,-0.9528476,25.59018129067988,0.0,1.1792439,0.006867521
0.7492973,2297,0.11890081,18.718328254244668,-17.76099259904223,-10.41,0.82764506,42998,1,0.013384860919516312,1683.221224784851,1.0,-2.9832172,2.5249002,0.18204919,-0.27887046,2297,2.4113142,0.11742,0.01835,-0.98483956,25.545067616109698,0.0,1.1901845,0.005295175
0.7505244,2387,0.14334549,18.431922915793884,-17.47297863426896,-10.62,0.8237082,43998,1,0.013343485498123111,1725.078577041626,1.0,-2.9927318,2.5291,0.18455976,-0.2495547,2387,2.4354315,0.04664,0.01832,-0.9809616,25.504925158512552,0.0,1.1885506,0.0043571894
0.7513283,2471,0.14316879,18.18413597733711,-17.223796033994333,-9.92,0.82007825,44998,1,0.012964862924357012,1766.5685160160065,1.0,-3.0068789,2.5754786,0.1700682,-0.18280816,2471,2.4670684,0.0758,0.01828,-0.9108628,25.471981183883095,0.0,1.1601415,0.00297776
0.7525561,2571,0.109720744,17.89070400622326,-16.92921042395955,-9.65,0.8213567,45998,1,0.013803520774901218,1808.6290493011475,0.99,-3.0175784,2.5728178,0.16981712,-0.214711,2571,2.4762826,0.13346,0.01824,-0.92163044,25.432523058154786,0.0,1.086373,0.0022624119
0.75346583,2660,0.08596561,17.66766917293233,-16.704887218045112,-9.94,0.8244796,46998,1,0.01315837919588506,1849.979516029358,1.0,-3.0278814,2.588243,0.15897825,-0.21922258,2660,2.5014124,0.08723,0.01821,-0.9194157,25.404605614700316,0.0,1.0895878,0.0003293851
0.75440717,2747,0.14941557,17.473243538405534,-16.50928285402257,-10.18,0.81346846,47998,1,0.013283041325542417,1891.1022236347198,1.0,-3.0411232,2.6008823,0.17624229,-0.20479962,2747,2.516705,0.02858,0.01817,-0.9072163,25.380965343981934,0.0,1.1073749,0.00039603756
0.7552659,2838,0.16490638,17.2646229739253,-16.29985905567301,-10.4,0.80169904,48998,1,0.013191541101442363,1932.2538313865662,0.99,-3.0327287,2.6246412,0.16439122,-0.19070637,2838,2.5311143,0.02725,0.01814,-0.8813714,25.357952047552427,0.0,1.0337237,0.0018425245
0.7560386,2917,0.17563534,17.137127185464518,-16.17140898183065,-11.3,0.8104633,49998,1,0.012787416887350855,1974.7372102737427,1.0,-3.0477118,2.649492,0.16322593,-0.12991135,2917,2.57727,0.056,0.0181,-0.829321,25.318811910709456,0.0,1.0417287,0.0032332733
0.75678396,3014,0.16895153,16.91771731917717,-15.950895819508958,-9.29,0.80546063,50998,1,0.01290094879260445,2016.6322355270386,1.0,-3.043721,2.6512022,0.16800147,-0.09686345,3014,2.5749693,0.03199,0.01806,-0.80039966,25.2886962241144,0.0,0.98779863,0.0014175742
0.75767577,3109,0.13894624,16.722418784174977,-15.754583467352846,-9.4,0.80484396,51998,1,0.012212884262991807,2058.4691956043243,1.0,-3.0546403,2.666012,0.1617371,-0.13681002,3109,2.5967028,0.15034,0.01803,-0.8484168,25.260518889977586,0.0,0.9842891,0.00093741296
0.75854903,3205,0.14133489,16.534789391575664,-15.565990639625586,-9.65,0.8020994,52998,1,0.012918278934667732,2100.4299058914185,1.0,-3.0611665,2.6957104,0.16461109,-0.17610496,3205,2.61333,0.05923,0.01799,-0.8895421,25.231977440117312,0.0,0.9802756,0.00037457922
0.75918895,3282,0.18590443,16.448507007922,-15.479280926264472,-11.94,0.79746324,53998,1,0.012392795212047177,2142.6849493980408,0.99,-3.0772476,2.7266097,0.16594158,-0.10732169,3282,2.6561518,0.08339,0.01796,-0.81306183,25.201091749475363,0.0,0.9670824,0.0004968495
0.75975776,3373,0.15805715,16.30595908686629,-15.335902757189446,-11.74,0.8060605,54998,1,0.012782412700389139,2184.8518812656403,0.99,-3.0830941,2.7183106,0.15303037,-0.103522256,3373,2.6368465,0.01703,0.01792,-0.8088043,25.172415792388076,0.0,0.9401091,5.0057615e-06
0.76044947,3472,0.1871578,16.12471198156682,-15.153801843317972,-8.93,0.7999964,55998,1,0.01252358223862245,2227.7496378421783,1.0,-3.085274,2.7363477,0.1593219,-0.17183971,3472,2.6728537,0.12025,0.01788,-0.90612745,25.13657686159036,0.0,0.92830294,-0.00092196156
0.76070327,3544,0.119131,16.080699774266364,-15.109198645598195,-12.34,0.8101257,56998,1,0.011848359126177441,2270.3824813365936,1.0,-3.0922725,2.737583,0.14656408,-0.16428202,3544,2.6567042,0.05,0.01785,-0.8703851,25.105021056383762,0.0,0.89569736,-0.0003883533
0.7612849,3634,0.11729321,15.960099064391855,-14.987892129884425,-10.37,0.8015157,57998,1,0.01218888445399409,2313.02609705925,1.0,-3.111819,2.7910926,0.16301705,-0.062880844,3634,2.7040923,0.13205,0.01781,-0.7724639,25.074511728915585,0.0,0.88747716,-0.00025609805
0.761834,3734,0.18881159,15.793786823781467,-14.820835565077665,-8.75,0.7998762,58998,1,0.012620588190596544,2355.807436943054,1.0,-3.119041,2.7925236,0.14437099,-0.04048966,3734,2.713578,0.02598,0.01778,-0.75929785,25.043642818513664,0.0,0.85407394,0.0007596977
0.7624264,3840,0.19247651,15.6234375,-14.649739583333334,-8.59,0.7913582,59998,1,0.013166962599023406,2398.8425648212433,1.0,-3.1206965,2.787239,0.1639793,-0.1364256,3840,2.721081,0.03156,0.01774,-0.8479538,25.0112286983164,0.0,0.8913436,0.0005494678
0.7624306,3921,0.12622155,15.554960469268044,-14.581229278245345,-11.22,0.8022223,60998,1,0.012599153247066288,2441.0408391952515,0.98,-3.1177962,2.8165026,0.14459819,-0.083233036,3921,2.7311115,0.2183,0.01771,-0.78609985,24.988520888536005,0.0,0.85679525,-0.00089272496
