rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01996,34.83126579186943,1,-97.77777777777777,0.13868092,0.04573561,9,0.08611273805083072,0.47753248,0.30491373,-0.63612926,-97.77777777777777,-0.5654352,0.58630866,0.4444444444444444,0.5316724,998,0.17285,-0.69285893,0.0,9,0.021060117,0.3156421,28.65241837501526,98.22222222222223
0.01992,32.94424094570014,1,-109.0,0.10337851,0.02402013,18,0.08500723876427378,0.6501225,0.33720946,-0.7277539,-109.0,-0.66463983,0.7413621,0.3888888888888889,0.5721313,1998,0.11084,-0.8028872,0.0,18,0.019129101,0.36477268,60.647929430007935,109.38888888888889
0.01988,32.80713133375329,1,-119.25,0.08156051,0.046245594,24,0.1093806880540464,0.6621273,0.46344587,-0.89032584,-119.25,-0.72972286,0.8244703,0.2916666666666667,0.6523186,2998,0.14443,-0.90913963,0.0,24,-0.015730333,0.4664148,91.38257074356079,119.54166666666667
0.01984,32.75055525301219,1,-126.19354838709677,0.073682286,-0.18784784,31,0.11783141554586897,0.6292573,0.58607215,-0.99981225,-126.19354838709677,-0.860619,0.99945235,0.22580645161290322,0.65807045,3998,0.13701,-1.0441747,0.0,31,-0.06390881,0.587453,122.07426619529724,126.41935483870968
0.0198,32.738752237067025,1,-130.57894736842104,0.07777213,-0.3118545,38,0.11260923748029883,0.62317854,0.6692982,-1.1138916,-130.57894736842104,-1.0099616,1.1214362,0.18421052631578946,0.64969856,4998,0.11368,-1.2364964,0.0,38,-0.07887763,0.6882299,152.66311812400818,130.76315789473685
0.01976,32.91827560006893,1,-130.6,0.081449546,-0.34175095,45,0.11140730452306707,0.650317,0.82155544,-1.2441452,-130.6,-1.1244822,1.1897306,0.17777777777777778,0.65360653,5998,0.08512,-1.3853785,0.0,45,-0.098200776,0.81821007,182.20881533622742,130.77777777777777
0.01972,33.17151459720646,1,-131.0754716981132,0.088731974,-0.27635363,53,0.10967360110928169,0.68324995,0.9669312,-1.3605278,-131.0754716981132,-1.2043259,1.2714616,0.16981132075471697,0.66245157,6998,0.1326,-1.4722693,0.0,53,-0.09468514,0.9742286,210.96413850784302,131.24528301886792
0.01968,33.30151578970328,1,-121.87692307692308,0.101231754,-0.27708378,65,0.09832288924400392,0.7102304,1.1053569,-1.4485149,-121.87692307692308,-1.1568985,1.327663,0.24615384615384617,0.6643405,7998,0.11123,-1.4694539,0.0,65,-0.08922217,1.1193188,240.16924786567688,122.12307692307692
0.01964,33.40935590797427,1,-121.64383561643835,0.10291961,-0.25605547,73,0.09507752874849333,0.7201531,1.2113857,-1.5534432,-121.64383561643835,-1.2053438,1.3476089,0.2465753424657534,0.6699656,8998,0.1134,-1.5365024,0.0,73,-0.0689957,1.2205244,269.32575488090515,121.89041095890411
0.0196,33.613556948930324,1,-114.5,0.1119077,-0.21834989,86,0.08642729966660419,0.7378974,1.3800664,-1.593975,-114.5,-1.2341459,1.3762897,0.29069767441860467,0.66772985,9998,0.03194,-1.5883777,0.0,86,-0.08279665,1.3749111,297.4395127296448,114.79069767441861
0.01957,33.718501876587865,1,-112.68041237113403,0.110836715,-0.13815445,97,0.08099157704879076,0.75000775,1.5348614,-1.6780101,-112.68041237113403,-1.2150948,1.4041406,0.29896907216494845,0.6741217,10998,0.06059,-1.5831072,0.0,97,-0.06508997,1.5190399,326.17107486724854,112.97938144329896
0.01953,33.652434688738566,1,-103.71052631578948,0.11762622,-0.15447414,114,0.07048937097707127,0.7549414,1.6336929,-1.7728652,-102.69,-1.3035154,1.4476029,0.37,0.6794327,11998,0.0773,-1.7096874,0.0,114,-0.055424355,1.6231856,356.52695298194885,104.07894736842105
0.01949,33.504694536151476,1,-98.74615384615385,0.122057475,-0.1335197,130,0.05496737539809258,0.76825684,1.7476333,-1.855215,-90.75,-1.2246363,1.5275279,0.45,0.6834579,12998,0.03138,-1.6578321,0.0,130,-0.042936657,1.7623376,387.9456350803375,99.14615384615385
0.01945,33.28559167128393,1,-94.65068493150685,0.12552413,-0.16476977,146,0.04522505436743104,0.76191527,1.8890051,-1.9698393,-77.92,-1.2176085,1.5485879,0.55,0.68810785,13998,0.08321,-1.6655612,0.0,146,-0.03218904,1.8819336,420.5423216819763,95.08219178082192
0.01941,33.079315455126675,1,-87.7396449704142,0.13559575,-0.15682256,169,0.03620403707415427,0.7639412,2.0191238,-2.0785828,-63.06,-1.2025497,1.614031,0.65,0.69690424,14998,0.04554,-1.668857,0.0,169,-0.023584496,2.0164306,453.3951139450073,88.2189349112426
0.01937,32.81545836694832,1,-79.7537688442211,0.15087362,-0.17807078,199,0.0315813541793342,0.769691,2.0912158,-2.1767175,-47.83,-1.152925,1.6391611,0.76,0.7018281,15998,0.07294,-1.6413109,0.0,199,-0.014872491,2.0968559,487.5141410827637,80.28643216080403
0.01933,32.66692005040121,1,-76.66818181818182,0.14940566,-0.2032681,220,0.03201370259647109,0.771209,2.187667,-2.2650733,-46.75,-1.180128,1.6362315,0.76,0.70677346,16998,0.2004,-1.6878172,0.0,220,-0.008410277,2.2241852,520.3429026603699,77.22272727272727
0.01929,32.537671357832586,1,-74.74058577405857,0.16039823,-0.20008683,239,0.029616878941464506,0.7754714,2.255737,-2.3573546,-43.51,-1.1514251,1.6852533,0.8,0.70931315,17998,0.01183,-1.697798,0.0,239,-0.0069979415,2.2925951,553.1434564590454,75.31380753138075
0.01926,32.41577913259271,1,-69.74814814814815,0.16177069,-0.19011396,270,0.02730453873450782,0.7851334,2.3635523,-2.4433122,-38.54,-1.1103526,1.6659448,0.83,0.7132753,18998,0.13836,-1.6715994,0.0,270,-0.0050025205,2.3962564,586.0726013183594,70.35555555555555
0.01922,32.27472355619064,1,-68.08996539792388,0.16019788,-0.25878882,289,0.030456987317658953,0.7758136,2.46611,-2.5314975,-41.95,-1.0325677,1.7044568,0.81,0.71716857,19998,0.16098,-1.6047647,0.0,289,0.0032150075,2.5002985,619.6180105209351,68.70934256055364
