success rate,train/loss_actor,rollout/actions_std,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/return_history,errors,reference_action_std,rollout/actions_mean,reference_Q_mean,total/steps,reference_actor_Q_mean,rollout/return,rollout/episodes,reference_action_mean,rollout/Q_mean,reference_actor_Q_std,rollout/error,reference_Q_std,rollout/goal_tolerance,rollout/episode_steps,total/duration,train/loss_critic,total/epochs
0.3333333333333333,0.9073875,0.59425074,0.0,6,43.68334416220728,-143.0,0.09032124478914401,0.9427876,-0.070189334,-0.86083573,998,-0.9810339,-143.0,6,-0.333305,-0.5443794,0.40860388,0.09559,0.27593178,0.01994,143.33333333333334,22.84623622894287,0.09642427,1
0.21428571428571427,0.6278001,0.7283437,0.0,14,48.07258223771587,-137.14285714285714,0.10519470986981648,0.87381816,-0.10358079,-0.9977211,1998,-0.9703356,-137.14285714285714,14,-0.037685502,-0.74791074,0.41356105,0.17074,0.3647529,0.01988,137.35714285714286,41.56215262413025,0.058316454,1
0.21739130434782608,0.5339849,0.7602115,0.0,23,49.074851464795636,-130.0,0.10914077133681334,0.94385904,-0.098635554,-1.1832693,2998,-1.1998069,-130.0,23,-0.09434217,-0.91721123,0.4980605,0.09393,0.46652216,0.01982,130.2173913043478,61.09035301208496,0.022043798,1
0.22580645161290322,0.70277697,0.778851,0.0,31,48.9914758599855,-125.90322580645162,0.10649649418580182,0.9093682,-0.094362326,-1.426264,3998,-1.4057709,-125.90322580645162,31,-0.09335878,-1.0547119,0.61452323,0.17374,0.613397,0.01976,126.12903225806451,81.60603308677673,0.017568778,1
0.25,1.0483012,0.780042,0.0,40,48.484408339543506,-121.3,0.1072454206403004,0.8399567,-0.093810886,-1.6892405,4998,-1.6618409,-121.3,40,-0.3168544,-1.2223258,0.7456448,0.18881,0.7473023,0.0197,121.55,103.08468580245972,0.045190454,1
0.22916666666666666,1.3449912,0.7682318,0.0,48,48.25424829085776,-123.4375,0.11055590603760919,0.7697498,-0.098048426,-1.9790039,5998,-1.9083316,-123.4375,48,-0.09546286,-1.3841357,0.85871285,0.15786,0.84394586,0.01964,123.66666666666667,124.29993653297424,0.074716695,1
0.2,1.8815796,0.7476986,0.0,55,46.70985068048042,-126.81818181818181,0.1167306027204281,0.68808657,-0.088336475,-2.1847694,6998,-2.0960476,-126.81818181818181,55,-0.11262212,-1.5468488,0.96048266,0.15017,0.94916064,0.01959,127.01818181818182,149.81850504875183,0.0852606,1
0.2753623188405797,2.5307384,0.7257373,0.0,69,45.223035374377474,-115.57971014492753,0.10638474727489043,0.70642924,-0.084578164,-2.452108,7998,-2.3041372,-115.57971014492753,69,-0.27219614,-1.7007157,1.0765555,0.19741,1.0838513,0.01953,115.85507246376811,176.85677075386047,0.10194335,1
0.2987012987012987,2.782651,0.71495515,0.0,77,44.26688820018919,-114.7012987012987,0.10124315556383849,0.7166672,-0.081108965,-2.6765537,8998,-2.5445957,-114.7012987012987,77,-0.35285854,-1.815447,1.2051711,0.04685,1.222216,0.01947,115.0,203.26705503463745,0.10064694,1
0.3258426966292135,2.7632308,0.7079358,0.0,89,43.83886935669035,-111.43820224719101,0.09682919681967375,0.74151695,-0.08710148,-2.9036,9998,-2.775722,-111.43820224719101,89,-0.35839844,-1.9799086,1.2761426,0.06557,1.2965578,0.01941,111.76404494382022,228.06245112419128,0.11849431,1
