reference_action_mean,train/loss_actor,reference_Q_std,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/episode_steps,total/steps_per_second,rollout/actions_mean,rollout/return,total/epochs,rollout/episodes,reference_actor_Q_mean,errors,train/param_noise_distance,reference_action_std,total/duration,rollout/error,success rate,rollout/goal_tolerance,total/steps,train/loss_critic,rollout/actions_std,reference_actor_Q_std,rollout/return_history
0.085109375,0.98706543,0.061845515,-0.7463319,6,-1.0275449,150.0,31.4374162307541,0.024636772,-150.0,1,6,-0.9846,0.1640445853322168,0.0,0.48555076,31.745611429214478,0.21587,0.0,0.01996,998,0.056994308,0.39755464,0.06048561,-150.0
-0.0036642363,1.1643968,0.10696542,-0.91885597,13,-1.2194016,150.0,30.46867001774481,0.058900565,-150.0,1,13,-1.1706085,0.15856407288926214,0.0,0.59298456,65.57555675506592,0.11887,0.0,0.01992,1998,0.049241833,0.4793689,0.100583956,-150.0
-0.07784111,1.367861,0.14618562,-1.0340165,20,-1.454702,143.1,30.177698524284608,0.0362568,-143.0,1,20,-1.3912352,0.14221310589423292,0.0,0.61565655,99.34488534927368,0.13006,0.1,0.01988,2998,0.050929327,0.4981461,0.13343804,-143.0
-0.11194044,1.5451869,0.21631935,-1.129578,29,-1.7629492,135.27586206896552,30.328390182284526,0.027739959,-135.10344827586206,1,29,-1.6172525,0.12593221870070637,0.0,0.6395751,131.82367992401123,0.09671,0.1724137931034483,0.01984,3998,0.062568806,0.50257695,0.20649634,-135.10344827586206
-0.11462597,1.6755316,0.30025,-1.2228217,36,-2.0666986,135.72222222222223,30.47677620749243,0.013884377,-135.55555555555554,1,36,-1.8437076,0.11534108038112881,0.0,0.7291863,163.993723154068,0.07287,0.16666666666666666,0.0198,4998,0.07002896,0.51446694,0.3051362,-135.55555555555554
-0.2004749,1.8039397,0.38250902,-1.3222301,43,-2.3325024,138.04651162790697,30.6029785794061,0.0005346875,-137.90697674418604,1,43,-2.0747051,0.11040880035471114,0.0,0.73165053,195.99399399757385,0.11002,0.13953488372093023,0.01976,5998,0.081578106,0.52796984,0.40583044,-137.90697674418604
-0.14314501,1.8841805,0.4381365,-1.4533159,59,-2.5605483,118.23728813559322,30.723916639613254,-0.013435362,-117.96610169491525,1,59,-2.2658246,0.09610758562985564,0.0,0.75516605,227.77043962478638,0.06806,0.2711864406779661,0.01972,6998,0.098652765,0.5475703,0.4699909,-117.96610169491525
-0.0972392,1.9582853,0.5090372,-1.5894421,66,-2.7297535,119.46969696969697,30.608951726085746,-0.010659704,-119.21212121212122,1,66,-2.41187,0.09891348875692105,0.0,0.7796438,261.2961094379425,0.11238,0.25757575757575757,0.01968,7998,0.10380703,0.55350554,0.5494238,-119.21212121212122
-0.110642076,2.0182302,0.5483608,-1.7181014,77,-2.9149709,116.63636363636364,30.536254505205022,-0.008946527,-116.35064935064935,1,77,-2.5643144,0.09521707736834681,0.0,0.79344153,294.6661319732666,0.03887,0.2857142857142857,0.01964,8998,0.10767755,0.56247836,0.5934198,-116.35064935064935
-0.12720403,2.016032,0.6429597,-1.8220215,97,-3.041263,103.05154639175258,30.420549954752982,-0.008238414,-102.6701030927835,1,97,-2.631155,0.082425253630965,0.0,0.8065002,328.6594099998474,0.03578,0.38144329896907214,0.0196,9998,0.10911308,0.5730892,0.7150746,-102.6701030927835
0.015362372,1.9652648,0.69166905,-1.8722245,132,-3.1600404,83.24242424242425,30.10229577221934,-0.0048521333,-82.71969696969697,1,132,-2.6986701,0.04680629575488462,0.0,0.8457871,365.35419368743896,0.04415,0.64,0.01957,10998,0.12213934,0.5813741,0.8151926,-65.51
0.0087974565,1.9218836,0.7808841,-1.9361781,179,-3.2369614,66.97765363128492,29.712907232652228,-0.0035485218,-66.33519553072625,1,179,-2.712898,0.019131587992750398,0.0,0.8750287,403.7975788116455,0.08674,0.92,0.01953,11998,0.12948565,0.5932858,0.93418396,-27.18
