rollout/error,reference_actor_Q_mean,rollout/return_history,total/steps,rollout/episode_steps,total/episodes,total/epochs,reference_actor_Q_std,total/duration,train/param_noise_distance,success rate,reference_Q_std,train/loss_actor,rollout/goal_tolerance,rollout/return,reference_action_std,reference_action_mean,reference_Q_mean,rollout/actions_mean,rollout/actions_std,total/steps_per_second,rollout/Q_mean,train/loss_critic,errors,rollout/episodes
0.09256,-0.9348442,-129.28571428571428,998,129.57142857142858,7,1,0.058665484,33.54855799674988,0.0,0.2857142857142857,0.06627593,0.93151724,0.01996,-129.28571428571428,0.42764887,0.05088355,-0.96641463,-0.004711523,0.3984493,29.747925383162055,-0.69478935,0.1045539,0.07940651716680067,7
0.07982,-1.0719721,-139.64285714285714,1998,139.78571428571428,14,1,0.12354816,68.2055401802063,0.0,0.14285714285714285,0.12554136,1.0662229,0.01992,-139.64285714285714,0.5613928,0.0077856905,-1.1312237,0.01713457,0.4510265,29.293808020889085,-0.8575686,0.09146018,0.0925605192640359,14
0.10241,-1.2039225,-142.75,2998,142.85,20,1,0.195858,100.20879340171814,0.0,0.1,0.20277749,1.1769986,0.01988,-142.75,0.6850981,-0.034832347,-1.2930349,-0.010842055,0.47189894,29.917534162711487,-0.9634167,0.07920894,0.10911597495407888,20
0.13983,-1.4254647,-124.93548387096774,3998,125.19354838709677,31,1,0.26693553,134.93323493003845,0.0,0.25806451612903225,0.2823432,1.3152629,0.01984,-124.93548387096774,0.6639319,-0.05526207,-1.5341059,-0.009027297,0.48011535,29.629468248300157,-1.0625019,0.08043397,0.0907815842361665,31
0.08545,-1.6082208,-112.25,4998,112.61363636363636,44,1,0.36352113,168.396493434906,0.0,0.36363636363636365,0.37859118,1.4262407,0.0198,-112.25,0.7370905,0.006830424,-1.7773837,-0.014697707,0.49942824,29.679952937571034,-1.1471748,0.06914667,0.0801582445825505,44
0.03998,-1.7342625,-95.66129032258064,5998,96.12903225806451,62,1,0.49077126,203.33800148963928,0.0,0.46774193548387094,0.48515427,1.4785239,0.01976,-95.66129032258064,0.77492464,0.10108372,-1.9902111,-0.014069869,0.5155674,29.49768344362142,-1.2392731,0.07231381,0.06636092390754293,62
0.03636,-1.7059836,-86.9113924050633,6998,87.43037974683544,79,1,0.59478116,239.78973937034607,0.0,0.5189873417721519,0.5762217,1.5070328,0.01972,-86.9113924050633,0.7802402,0.045068134,-2.0511801,-0.008403835,0.5323984,29.1839009391134,-1.3216242,0.07683352,0.059358972421307374,79
0.03285,-1.8051431,-44.54,7998,62.94488188976378,127,1,0.6732243,278.723002910614,0.0,0.8,0.6278262,1.5254161,0.01968,-62.267716535433074,0.819423,0.013546069,-2.229772,-0.007136764,0.5551093,28.695155823091305,-1.4008932,0.086853616,0.03058182938882255,127
0.05633,-1.8136157,-9.03,8998,39.63436123348018,227,1,0.81407624,320.4196021556854,0.0,1.0,0.71771574,1.5255421,0.01964,-38.81497797356828,0.8439692,0.010836805,-2.3385463,-0.008617514,0.5792585,28.08192738354395,-1.46591,0.09835796,0.014522991606102004,227
0.10423,-1.7869189,-8.92,9998,30.46951219512195,328,1,0.98198456,362.4159655570984,0.0,1.0,0.8311256,1.5311518,0.0196,-29.59451219512195,0.85256004,0.04153581,-2.3827548,-0.009044611,0.59756106,27.58708486981604,-1.5304971,0.10368908,0.014074286762458033,328
