rollout/goal_tolerance,rollout/return_history,rollout/error,total/steps,reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return,rollout/actions_std,reference_Q_mean,reference_action_std,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,total/duration,train/loss_actor,success rate,train/loss_critic,errors,train/param_noise_distance,rollout/episodes,reference_action_mean,reference_actor_Q_mean
0.01996,-116.375,0.1809,998,0.4459822,116.625,1,-116.375,0.56989866,-0.61786807,4.098445e-05,8,0.4176613,-0.42027798,42.25928468930211,-0.61465853,23.616111993789673,0.66241556,0.25,0.06706163,0.08569898078800878,0.0,8,-0.99999064,-0.64546126
0.01992,-124.3125,0.14292,1998,0.4948439,124.5,1,-124.3125,0.57152486,-0.7194451,0.00015071858,16,0.48140994,-0.57270074,44.89183644470077,-0.88359606,44.5069785118103,0.5939281,0.1875,0.031615704,0.12331680735203379,0.0,16,-0.99996406,-0.72334296
0.01988,-117.08,0.18995,2998,0.59278893,117.32,1,-117.08,0.56976783,-0.889298,0.6297586,25,0.6113144,-0.50588596,42.86690721248238,-0.9988898,69.93739914894104,0.6349477,0.24,0.037611537,0.11705134155664909,0.0,25,-0.18722667,-0.809987
0.01984,-114.05882352941177,0.17887,3998,0.7095833,114.32352941176471,1,-114.05882352941177,0.6109958,-1.0241524,0.64914227,34,0.71338683,-0.38060722,38.878253560394036,-1.1285144,102.8338372707367,0.88553816,0.2647058823529412,0.046464812,0.11508319822404939,0.0,34,-0.12516232,-0.92197293
0.0198,-112.4090909090909,0.03749,4998,0.84564507,112.70454545454545,1,-112.4090909090909,0.60499746,-1.170414,0.6832648,44,0.85741,-0.3215846,37.41879737131731,-1.263804,133.56923127174377,1.1724466,0.29545454545454547,0.056449685,0.10997365318861553,0.0,44,-0.2184056,-1.0501854
0.01976,-116.92,0.18004,5998,1.0250703,117.18,1,-116.92,0.6087679,-1.3153546,0.77710557,50,1.0344524,-0.29425278,36.98098076982151,-1.4104266,162.19147992134094,1.3182776,0.26,0.06111232,0.1164396837773446,0.0,50,-0.2467373,-1.1781254
0.01972,-117.13559322033899,0.0922,6998,1.1585263,117.38983050847457,1,-117.13559322033899,0.6112256,-1.3847878,0.77450955,59,1.1758493,-0.2796701,36.56771815736632,-1.5280743,191.37097835540771,1.4245666,0.2542372881355932,0.051021844,0.11292794745204107,0.0,59,-0.26311424,-1.2514582
0.01968,-115.80882352941177,0.08007,7998,1.3199989,116.07352941176471,1,-115.80882352941177,0.61232734,-1.54386,0.76730907,68,1.3422861,-0.25836843,35.942436131905225,-1.6711748,222.5224792957306,1.5822634,0.2647058823529412,0.04701447,0.10821003654570208,0.0,68,-0.20219922,-1.3976264
0.01964,-114.25641025641026,0.12957,8998,1.4680634,114.53846153846153,1,-114.25641025641026,0.6158402,-1.6374607,0.764454,78,1.4924153,-0.23060021,35.35125224855523,-1.8153094,254.5312945842743,1.7971556,0.28205128205128205,0.05938051,0.10060259024196609,0.0,78,-0.10617951,-1.4567645
0.0196,-104.2,0.07173,9998,1.6168338,104.5578947368421,1,-104.2,0.62134326,-1.762764,0.7763254,95,1.6509573,-0.20192285,34.928915556779316,-1.9540673,286.2384886741638,1.940095,0.35789473684210527,0.07552002,0.08924472575640228,0.0,95,-0.12295079,-1.5437837
