rollout/return_history,reference_Q_mean,total/steps_per_second,reference_actor_Q_std,reference_actor_Q_mean,success rate,rollout/error,total/epochs,total/steps,rollout/actions_std,train/loss_critic,rollout/return,rollout/goal_tolerance,reference_action_mean,total/duration,reference_action_std,rollout/actions_mean,rollout/episode_steps,total/episodes,reference_Q_std,train/loss_actor,rollout/episodes,rollout/Q_mean,train/param_noise_distance,errors
-30.82758620689655,-0.32757583,30.849617874509015,0.19809516,-0.33213365,0.8620689655172413,0.05183,1,998,0.6883521,0.15023543,-30.82758620689655,0.01996,0.16571535,32.35048174858093,0.8470708,0.0063939653,31.689655172413794,29,0.19896789,0.31994516,29,-0.19501361,0.0,0.020954159060342654
-37.28,-0.3859493,30.682243084478518,0.34453505,-0.30735254,0.8,0.04823,1,1998,0.7214296,0.063200206,-37.28,0.01992,0.05600381,65.11909818649292,0.5940751,0.022625824,38.08,50,0.41105297,0.31718895,50,-0.37475702,0.0,0.021925571969237435
-6.55,-0.35711694,27.65193545210896,0.41716167,-0.25354022,0.99,0.02658,1,2998,0.68601567,0.049367893,-17.460122699386503,0.01988,-0.033804275,108.41917395591736,0.7577465,0.013167707,18.386503067484664,163,0.45801914,0.32399392,163,-0.43243775,0.0,0.015188170388774312
-11.44,-0.4341585,26.0947710090792,0.5053877,-0.31068575,0.97,0.02762,1,3998,0.6678711,0.036780257,-16.409691629955947,0.01984,0.022987122,153.21077156066895,0.7761655,0.024549479,17.34361233480176,227,0.5588655,0.32935223,227,-0.5656322,0.0,0.015079991277953533
-6.89,-0.3855931,25.18292117796277,0.56874675,-0.24505408,0.99,0.03937,1,4998,0.6656385,0.036383383,-13.833333333333334,0.0198,-0.021478644,198.46784114837646,0.8134372,0.0345216,14.781818181818181,330,0.64947635,0.3136789,330,-0.6540361,0.0,0.015223917188036897
-2.6,-0.3927614,24.328064075319627,0.6587349,-0.25695235,1.0,0.0351,1,5998,0.6743983,0.036167968,-10.397727272727273,0.01976,0.0050557056,246.54653906822205,0.82382673,0.041607983,11.361742424242424,528,0.74372286,0.30035478,528,-0.7058807,0.0,0.014632339255266427
-3.21,-0.4106272,23.535467167815987,0.73612225,-0.26498842,1.0,0.02055,1,6998,0.68968177,0.038078714,-8.46693657219973,0.01972,-0.050364923,297.33847856521606,0.80249876,0.058647763,9.441295546558704,741,0.8504429,0.30089477,741,-0.75656664,0.0,0.01437685803264184
-2.95,-0.40202856,22.81644548661372,0.7906592,-0.25407496,1.0,0.01919,1,7998,0.70167065,0.03935717,-7.353125,0.01968,-0.100622945,350.53663396835327,0.8119909,0.054816786,8.333333333333334,960,0.92951846,0.2900495,960,-0.8003836,0.0,0.014326766938186089
-2.71,-0.42070186,22.2444255203272,0.84581417,-0.26210716,1.0,0.02107,1,8998,0.71375865,0.0472055,-6.4945968412302575,0.01964,-0.08457074,404.5058386325836,0.7751844,0.05087113,7.478802992518704,1203,0.99978274,0.31846592,1203,-0.8435451,0.0,0.01445201506588246
-2.42,-0.43756723,21.805630876678073,0.8987209,-0.27686286,1.0,0.04144,1,9998,0.7217259,0.04559822,-5.71313672922252,0.0196,-0.051601276,458.5054225921631,0.7819275,0.05372561,6.700402144772118,1492,1.0703163,0.29557782,1492,-0.8688523,0.0,0.01349107218126844
-1.9,-0.45955023,21.375381844708247,0.94283587,-0.2888634,1.0,0.02142,1,10998,0.72869045,0.04213977,-5.155307262569832,0.01957,-0.020983875,514.517124414444,0.7854229,0.053256568,6.144692737430168,1790,1.1364992,0.32145306,1790,-0.895713,0.0,0.013054922221133372
-2.3,-0.48396736,21.00256174424587,0.9714531,-0.30188915,1.0,0.01151,1,11998,0.73455834,0.044118546,-4.680056710775047,0.01953,-0.021833817,571.2636461257935,0.7605306,0.054569114,5.671077504725898,2116,1.1872518,0.30699605,2116,-0.9171289,0.0,0.013646832799931752
-2.83,-0.5033086,20.745371841446655,1.0070373,-0.30775374,1.0,0.02349,1,12998,0.73748326,0.04054974,-4.430538172715895,0.01949,-0.04678233,626.5493865013123,0.77685744,0.05255944,5.422611597830621,2397,1.2343467,0.30505222,2397,-0.93867356,0.0,0.013501290044673203
-2.25,-0.5126654,20.515339744689193,1.0354285,-0.32211733,1.0,0.03478,1,13998,0.74009746,0.040388845,-4.177687476911711,0.01945,-0.030031363,682.3187026977539,0.77159595,0.049375534,5.170668636867381,2707,1.2666823,0.3141728,2707,-0.9529867,0.0,0.013889198287735438
-2.39,-0.50862795,20.301371385398653,1.033908,-0.3061399,1.0,0.01507,1,14998,0.7424046,0.036867134,-3.9666005291005293,0.01941,-0.017857393,738.7678258419037,0.7628393,0.047495373,4.9603174603174605,3024,1.2883433,0.2982785,3024,-0.9691124,0.0,0.012746513198919073
-2.37,-0.5196473,20.107844972008575,1.056114,-0.30933186,1.0,0.04535,1,15998,0.74409175,0.03506115,-3.802998500749625,0.01937,-0.04486576,795.6098737716675,0.7672892,0.045321036,4.797301349325338,3335,1.310447,0.28223786,3335,-0.97956014,0.0,0.012613184056115256
-2.19,-0.51559937,19.944347272227184,1.0553358,-0.3032148,1.0,0.01485,1,16998,0.7459728,0.034128584,-3.6373297002724794,0.01933,-0.14940706,852.2715618610382,0.7689625,0.044519167,4.632152588555858,3670,1.324583,0.26775417,3670,-0.99238497,0.0,0.01303022336620866
-2.37,-0.49326247,19.832139227193924,1.049153,-0.2902178,1.0,0.01897,1,17998,0.74761313,0.032155585,-3.5228413654618476,0.01929,-0.08830026,907.5168237686157,0.79193264,0.043641422,4.518072289156627,3984,1.3122647,0.2856309,3984,-1.009657,0.0,0.013443734995811342
-1.59,-0.48521736,19.69500923867746,1.0474615,-0.27528557,1.0,0.02649,1,18998,0.74955636,0.030205809,-3.389427516158818,0.01926,-0.11224861,964.6098546981812,0.7829666,0.041966125,4.3850415512465375,4332,1.3270371,0.2599015,4332,-1.0135666,0.0,0.012347974445659266
-2.3,-0.5010286,19.625435868406836,1.0625767,-0.29452762,1.0,0.036,1,19998,0.75171536,0.030431634,-3.318446601941748,0.01922,-0.21195264,1018.9837379455566,0.76062983,0.038457144,4.314347357065803,4635,1.3378531,0.2689859,4635,-1.0270172,0.0,0.0132175108804138
-2.2,-0.5130211,19.531056837460497,1.0723225,-0.302743,1.0,0.00459,1,20998,0.753478,0.028380018,-3.239411052843889,0.01918,-0.2213823,1075.1082327365875,0.76677954,0.03613122,4.235578862444534,4958,1.3468874,0.2803613,4958,-1.0321915,0.0,0.012775793436844173
-2.0,-0.49679056,19.397449163402786,1.0607386,-0.28599975,1.0,0.00968,1,21998,0.75551647,0.027119927,-3.151395173453997,0.01914,-0.08888,1134.066640138626,0.778765,0.0320799,4.1478129713423835,5304,1.3347102,0.24252658,5304,-1.0345284,0.0,0.012830063076227168
-1.89,-0.4968056,19.319709660420518,1.0444447,-0.27432594,1.0,0.0555,1,22998,0.7568018,0.027781429,-3.090650551013153,0.0191,-0.080909245,1190.390559911728,0.7833866,0.031179156,4.087273373622467,5626,1.3350015,0.23442385,5626,-1.0373806,0.0,0.012711214326777704
-1.86,-0.4952979,19.240171430610832,1.0508204,-0.27674222,1.0,0.03883,1,23998,0.7581516,0.025867378,-3.0405450874831765,0.01906,-0.1422194,1247.286183834076,0.8028197,0.028627766,4.037348586810229,5944,1.3395244,0.24246868,5944,-1.0423888,0.0,0.012078402894357703
-1.86,-0.49546978,19.169863580299147,1.0541543,-0.2760636,1.0,0.01919,1,24998,0.75946754,0.026144486,-2.979322411324956,0.01903,-0.05040581,1304.0259726047516,0.8175672,0.02735571,3.9763003022109116,6287,1.3353107,0.24165991,6287,-1.0448488,0.0,0.012378992165546263
-2.58,-0.4880786,19.111178988661703,1.0555528,-0.27103773,1.0,0.0307,1,25998,0.7610672,0.023586461,-2.9377932495837746,0.01899,0.005194644,1360.3556334972382,0.8286787,0.025790341,3.9349175117299833,6607,1.3329965,0.2003443,6607,-1.049341,0.0,0.012662206503870647
-2.41,-0.48676524,19.03808786936056,1.0580667,-0.26658162,1.0,0.01605,1,26998,0.7621437,0.02651202,-2.908433386373499,0.01895,-0.05943359,1418.104600906372,0.82354486,0.024014207,3.9056849414147257,6913,1.3416849,0.20540163,6913,-1.0547715,0.0,0.012767698131358413
-2.47,-0.47453675,18.984578011980705,1.0595524,-0.2568901,1.0,0.0195,1,27998,0.7633488,0.025258156,-2.8642758620689657,0.01891,-0.094097495,1474.7759988307953,0.83695906,0.02302265,3.8616551724137933,7250,1.3363153,0.19508724,7250,-1.057509,0.0,0.012743147648099046
-1.62,-0.4667048,18.935444871000602,1.0707145,-0.25371012,1.0,0.04103,1,28998,0.7644835,0.02505414,-2.822553023317086,0.01887,-0.046422716,1531.4137163162231,0.841889,0.021086149,3.820050059280727,7591,1.3386081,0.18876551,7591,-1.0544411,0.0,0.012387155604370165
-1.99,-0.46571773,18.90293841140233,1.0607654,-0.24124937,1.0,0.04602,1,29998,0.7655442,0.02430967,-2.7809547801990173,0.01884,-0.12244066,1586.9490418434143,0.83281183,0.018732782,3.7785615316790526,7939,1.3390367,0.16870661,7939,-1.0531529,0.0,0.012729361318464836
-1.86,-0.45260862,18.876494319738825,1.0647163,-0.23499532,1.0,0.03341,1,30998,0.7666471,0.024234518,-2.750211582638133,0.0188,-0.13602486,1642.1481380462646,0.8450517,0.016133273,3.7479143997098294,8271,1.3441018,0.16504492,8271,-1.0510565,0.0,0.012142627324383497
-1.84,-0.4615534,18.825825995976306,1.0645771,-0.23308763,1.0,0.02184,1,31998,0.7678127,0.024506154,-2.718666511789987,0.01876,-0.14471887,1699.6863780021667,0.84723985,0.016032686,3.7164595191079104,8609,1.3475527,0.13616589,8609,-1.0500573,0.0,0.012636322730131147
-2.13,-0.4434723,18.78293003012943,1.0694432,-0.21956335,1.0,0.0262,1,32998,0.76904315,0.023558546,-2.692238872735406,0.01872,-0.20538597,1756.8079073429108,0.8359284,0.014923024,3.6901140684410647,8942,1.342356,0.12193166,8942,-1.0513182,0.0,0.012362728026799248
-2.02,-0.43332386,18.747998164461993,1.0715185,-0.20213611,1.0,0.01118,1,33998,0.7703645,0.024441717,-2.6654455338864347,0.01869,-0.16342734,1813.4202756881714,0.8506302,0.013733211,3.6633983406960455,9281,1.3581802,0.11579882,9281,-1.0496609,0.0,0.012188010757806164
-1.56,-0.42079335,18.720687518821293,1.0746105,-0.19059642,1.0,0.01078,1,34998,0.7715392,0.023942182,-2.651616266944734,0.01865,-0.22283822,1869.4826226234436,0.83948183,0.011554568,3.6496350364963503,9590,1.3545811,0.10545096,9590,-1.0542665,0.0,0.011975717528411318
-1.9,-0.40404016,18.67339817871285,1.0759181,-0.16374193,1.0,0.02749,1,35998,0.77271724,0.02336484,-2.626057188884414,0.01861,-0.16574858,1927.7690999507904,0.8544238,0.00973323,3.624144180426903,9932,1.3539147,0.093508184,9932,-1.05211,0.0,0.012633585530299895
-2.05,-0.4055179,18.639867637790914,1.0758942,-0.17010514,1.0,0.02178,1,36998,0.77363735,0.024472278,-2.610260411586853,0.01858,-0.23321722,1984.8853392601013,0.83667654,0.009913332,3.608407295425729,10253,1.3607917,0.07093671,10253,-1.05016,0.0,0.0122261478262359
-2.49,-0.3773951,18.625228188772425,1.0845932,-0.14797646,1.0,0.04528,1,37998,0.7745467,0.023568913,-2.5968398145519918,0.01854,-0.23587812,2040.136078596115,0.8260241,0.008988955,3.5950421042671965,10569,1.3633994,0.064130865,10569,-1.0507613,0.0,0.012491758540427526
-2.12,-0.37464908,18.60720122482209,1.0917729,-0.13943958,1.0,0.03691,1,38998,0.77536255,0.024384104,-2.5818415496190212,0.0185,-0.2865361,2095.8552298545837,0.80012655,0.0075709173,3.5800973101992106,10893,1.3703752,0.0425949,10893,-1.0523498,0.0,0.011325644024655775
